,seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std
0,1,10,100,2,10,1,2500,10,0.5,1,8,1,33,50,0,50.697,8.02918,1467.49,96.3354,9.15152,0.637377
1,77,100,100,2,10,1,5000,10,0.5,1,8,1,33,50,0,268.727,9.29809,4980.95,19.2335,32.3333,0.770552
2,35,50,100,2,10,5,2500,10,0.5,1,0,1,33,50,0,198.212,17.8881,2490.35,12.2126,12.1818,1.08972
3,51,70,100,2,10,5,2500,10,0.5,1,8,1,33,50,0,147.485,6.51499,2485.9,16.2537,16.3939,0.637377
4,7,10,100,2,10,5,5000,10,0.5,1,0,1,33,50,0,53.5455,9.43759,1692.79,523.364,8.15152,1.53093
5,43,60,100,2,10,5,2500,10,0.5,1,3,1,33,50,0,169.152,11.851,2444.0,38.8211,13.0303,1.04583
6,22,30,100,2,10,5,5000,5,0.5,1,2,1,33,50,0,144.667,18.7844,3939.52,344.522,19.6364,1.8456
7,0,10,100,2,10,1,2500,5,0.5,1,2,1,33,50,0,51.7879,9.59087,2128.15,338.519,5.60606,1.11803
8,42,60,100,2,10,5,2500,5,0.5,1,6,1,33,50,0,170.576,10.5683,2444.97,39.5568,14.3333,0.918559
9,0,10,100,2,10,1,2500,5,0.5,1,8,1,33,50,0,48.4848,10.6364,1475.84,124.33,9.15152,0.810093
10,64,90,100,2,10,1,2500,5,0.5,1,2,1,33,50,0,298.97,16.3238,2495.12,5.07911,10.3939,0.810093
11,49,70,100,2,10,1,2500,10,0.5,1,6,1,33,50,0,264.727,19.7378,2438.48,44.7485,10.0606,1.22474
12,7,10,100,2,10,5,5000,10,0.5,1,2,1,33,50,0,53.5455,9.43759,2780.67,856.011,5.21212,1.0155
13,63,80,100,2,10,5,5000,10,0.5,1,3,1,33,50,0,302.212,21.402,4945.84,40.7277,26.8182,1.87916
14,44,60,100,2,10,1,5000,5,0.5,1,2,1,33,50,0,344.091,19.2603,4993.09,10.4444,19.8788,1.51038
15,59,80,100,2,10,5,2500,10,0.5,1,3,1,33,50,0,188.879,11.0645,2449.79,43.6909,12.9394,1.68634
