,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,#BIN
0,1.0,0.9903,1.0,0.9618,0.0,0.9903,0.0465,0.9671,13.3529,50,2279,15551,2257,12607,2279,15195,2192,12242,2257,13071,106,20032,0,23987,2204,14851,35
1,0.959,0.9398,1.0,0.9,0.0191,0.9398,0.0921,0.9158,15.0,50,3156,18569,3093,14148,3291,18699,2962,11821,3093,14624,303,20275,63,24223,3014,16053,35
2,1.0,0.9945,1.0,1.0,0.0,0.9945,0.0249,0.9945,13.1961,50,1647,12615,1638,10685,1647,12615,1647,12615,1638,11144,41,19883,0,23706,1638,11424,20
3,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,8.7647,50,825,13143,825,11281,825,13189,825,13143,825,11731,0,19626,0,23387,825,12006,26
4,1.0,1.0,1.0,1.0,0.0,1.0,0.346,1.0,1.4314,50,474,24569,474,19043,474,23485,474,24569,474,24372,164,20975,0,24313,474,24063,96
5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,8.7647,50,825,13143,825,11281,825,13189,825,13143,825,11731,0,19626,0,23387,825,12006,26
6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,6.8431,50,367,16342,367,14645,367,16317,367,16451,367,12126,0,19296,0,23396,367,15365,46
7,1.0,0.986,1.0,0.9593,0.4387,0.9152,0.1426,0.8167,2.3725,50,2995,23590,2953,15143,2995,23859,2873,24186,2741,23216,427,19818,1314,23607,2446,23477,95
8,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,8.7647,50,825,13143,825,11281,825,13189,825,13143,825,11731,0,19626,0,23387,825,12006,26
9,0.9693,0.9451,1.0,0.8384,0.1006,0.9796,0.0241,0.9555,11.7059,50,4858,21297,4737,16191,5012,22808,4202,15669,4910,24007,121,19479,504,23706,4789,16934,69
10,1.0,0.994,1.0,0.8145,0.0213,1.0,0.0213,0.9855,12.5686,50,5174,20874,5143,15699,5174,20293,4214,11560,5174,16172,110,19378,110,23934,5099,18846,69
11,0.9094,0.8825,1.0,0.6487,0.1107,0.9957,0.0354,0.8515,13.5882,50,6910,23364,6705,18909,7598,23684,4929,11860,7565,22905,269,18406,841,23661,6470,16633,60
12,0.9935,0.9785,1.0,0.8211,0.015,0.9665,0.0415,0.9639,19.7451,50,6225,21294,6131,16796,6266,21152,5145,11113,6056,16268,260,19795,94,23310,6040,19272,38
13,0.9948,0.8827,1.0,0.6944,0.0292,1.0,0.0292,0.9469,17.2353,50,9949,23491,8828,15875,10001,23879,6945,10700,10001,24537,292,17730,292,23709,9470,18833,40
14,1.0,0.9508,1.0,0.6903,0.1887,0.9822,0.0687,0.9508,17.4314,50,13097,22190,12452,17682,13097,22190,9041,11873,12864,21307,900,21072,2472,22097,12452,17682,50
15,1.0,0.9656,1.0,0.7512,0.0344,0.9656,0.0344,0.8971,26.1765,50,15942,21786,15394,17196,15942,23328,11975,11788,15394,18242,548,18512,548,22551,14301,17269,31
16,0.9796,0.947,1.0,0.7279,0.0537,0.9893,0.0537,0.947,22.3725,50,11933,23834,11536,16114,12182,23775,8867,10917,12052,21869,654,19510,654,21697,11536,16114,40
17,1.0,0.9277,1.0,0.7141,0.0423,1.0,0.0881,0.9277,23.6275,50,13996,23615,12984,16466,13996,23922,9995,11092,13996,22130,1233,20777,592,23209,12984,18795,40
18,0.9923,0.9211,1.0,0.7113,0.0404,1.0,0.0856,0.9663,22.3333,50,13050,23565,12113,16236,13151,23905,9354,10938,13151,22076,1126,20067,531,22385,12708,18272,42
19,0.9994,0.9195,1.0,0.7149,0.0363,1.0,0.0805,0.9637,20.0196,50,11447,24005,10532,15960,11454,23373,8188,10756,11454,23381,922,18886,416,21004,11038,17913,42
20,1.0,0.9655,1.0,0.75,0.0345,0.9655,0.0345,0.897,26.1765,50,16266,21967,15705,17322,16266,23529,12200,11880,15705,18382,561,18753,561,22845,14590,17403,33
21,1.0,1.0,1.0,0.7849,0.0374,1.0,0.0374,0.858,26.8824,50,22289,21437,22289,18532,22289,20654,17495,13472,22289,20289,833,15814,833,23341,19125,20739,44
22,1.0,0.9985,1.0,0.7634,0.0344,0.9995,0.0355,0.9995,29.7451,50,20755,20184,20723,18284,20755,20184,15844,10650,20745,19588,737,14406,715,23206,20745,19254,29
23,1.0,1.0,1.0,0.7681,0.0,1.0,0.0361,0.8544,26.8824,50,18101,20785,18101,18430,18101,20785,13904,11238,18101,19604,654,18054,0,23424,15465,19409,35
24,1.0,0.9214,1.0,0.7125,0.0394,1.0,0.0844,0.9665,22.3333,50,12676,23699,11680,16142,12676,23691,9032,10877,12676,21897,1070,19726,499,21989,12251,18153,42
25,0.9994,0.9193,1.0,0.7143,0.0368,1.0,0.081,0.9636,20.0196,50,11604,24062,10674,15978,11611,23427,8294,10768,11611,23435,941,18986,427,21122,11188,17938,42
26,0.9948,0.8824,1.0,0.7109,0.0297,1.0,0.0297,0.8824,17.2353,50,10114,24033,8971,15872,10167,23904,7228,11312,10167,24565,302,17821,302,23833,8971,16678,43
27,0.9554,0.8983,1.0,0.7471,0.0684,0.8983,0.0207,0.9525,16.8431,50,6603,22019,6208,15398,6911,24240,5163,11824,6208,16240,143,17969,473,23914,6583,19063,40
28,1.0,0.9624,1.0,0.7631,0.0715,0.9886,0.0392,0.971,17.8627,50,7577,23377,7292,15991,7577,23180,5782,10828,7491,24283,297,18538,542,23573,7357,17157,40
29,1.0,0.9945,1.0,0.8217,0.0194,1.0,0.0194,0.9841,11.902,50,4903,20930,4876,15792,4903,20352,4029,11612,4903,16265,95,19232,95,23752,4825,16590,71
30,0.997,0.9742,1.0,0.866,0.0938,1.0,0.0228,0.9772,11.7059,50,3974,23581,3883,16817,3986,22750,3452,15730,3986,24111,91,18955,374,23697,3895,17209,65
31,1.0,0.9968,1.0,0.8654,0.0067,0.9987,0.0067,0.9746,11.4314,50,3707,21386,3695,14912,3707,21179,3208,11890,3702,15387,25,18659,25,23579,3613,17082,70
32,0.971,0.9551,1.0,0.8262,0.0159,0.9551,0.044,0.939,13.6667,50,4152,21499,4084,16102,4276,21367,3533,11645,4084,16888,188,18697,68,23238,4015,16904,48
33,0.9923,0.9748,1.0,0.8034,0.0175,0.9599,0.0175,0.9651,19.7843,50,7100,21689,6975,16614,7155,21055,5748,11001,6868,16103,125,18389,125,23406,6905,19127,39
34,0.9975,0.8831,1.0,0.7133,0.0461,1.0,0.0693,0.947,17.2353,50,9814,24105,8689,15877,9839,23854,7018,11312,9839,24508,682,19523,454,24202,9318,18829,40
35,0.9986,0.9861,1.0,0.8402,0.0139,0.9732,0.0344,0.9627,18.8039,50,5517,21367,5448,17314,5525,21257,4642,11234,5377,16448,190,19425,77,24152,5319,18413,37
36,1.0,0.949,1.0,0.7663,0.0185,0.9156,0.051,0.9068,13.6667,50,5473,23901,5194,18908,5473,24732,4194,11423,5011,16553,279,19128,101,23844,4963,16541,48
37,1.0,0.9779,1.0,0.7978,0.0221,0.9779,0.0221,0.9442,25.6667,50,9111,21239,8910,14991,9111,20478,7269,10890,8910,15940,201,17854,201,19837,8603,19796,26
38,0.9899,0.9703,1.0,0.7199,0.0159,1.0,0.0618,0.9878,25.9804,50,19661,22574,19271,19887,19861,22605,14297,11729,19861,22605,1228,18670,316,24006,19619,21604,41
39,1.0,0.9984,1.0,0.7603,0.0343,0.9995,0.0354,0.9995,29.7451,50,23162,22182,23126,20080,23162,22182,17610,11690,23151,21522,820,15941,795,23546,23151,21153,37
