,index,Col-M_mean,Col-M_min,Col-M_max,Col-M_std,Col-M_var,Col-M-na_mean,Col-M-na_min,Col-M-na_max,Col-M-na_std,Col-M-na_var,MR-M_mean,MR-M_min,MR-M_max,MR-M_std,MR-M_var,GeRt-M_mean,GeRt-M_min,GeRt-M_max,GeRt-M_std,GeRt-M_var,GLp-M_mean,GLp-M_min,GLp-M_max,GLp-M_std,GLp-M_var,GSw-M_mean,GSw-M_min,GSw-M_max,GSw-M_std,GSw-M_var,knapsack_mean,knapsacks_min,knapsack_max,knapsack_std,knapsack_var
0,0,0.9944666666666667,0.8740000000000001,1.0,0.025666653491432673,0.000658777101449273,0.9727458333333333,0.8561,1.0,0.053708035016767436,0.002884553025362317,0.8874083333333332,0.1435,1.0,0.2883162905661022,0.08312628340579709,0.8893666666666666,0.7483,1.0,0.0929856121019323,0.00864632405797102,0.42410833333333336,0.1261,0.877,0.299413337852638,0.08964834688405797,0.8874083333333332,0.1435,1.0,0.2883162905661022,0.08312628340579709,1.0,1.0,1.0,0.0,0.0
1,1,0.9996000000000002,0.9983,1.0,0.00056722053068871,3.217391304347818e-07,0.9464541666666669,0.856,1.0,0.06997116784583593,0.004895964329710144,0.6806875,0.1438,1.0,0.4205980724309239,0.1769027385326087,0.9580833333333333,0.8726,1.0,0.06018800737592213,0.0036225962318840563,0.6100458333333335,0.1263,0.8574,0.17903968707273102,0.03205520954710144,0.6806875,0.1438,1.0,0.4205980724309239,0.1769027385326087,1.0,1.0,1.0,0.0,0.0
2,2,0.9996875000000003,0.9986,1.0,0.0003391966211890852,1.1505434782609177e-07,0.8859875,0.856,1.0,0.059473423458096725,0.0035370880978260895,0.3230958333333334,0.1438,0.9996,0.3544214139658272,0.12561453867753627,0.9997958333333336,0.9986,1.0,0.00028510740412002124,8.12862318840571e-08,0.8154166666666667,0.5723,1.0,0.10818384781258351,0.011703744927536232,0.3587541666666669,0.1438,0.9997,0.37788312200325586,0.14279565389492754,1.0,1.0,1.0,0.0,0.0
3,3,0.9876625,0.8572,1.0,0.04018738513405725,0.0016150259239130454,0.9467583333333334,0.8322,1.0,0.07633809759829972,0.005827505144927535,0.4855916666666667,0.1435,1.0,0.40791443147527534,0.1663941834057971,0.9926958333333333,0.8324,1.0,0.0341479578505409,0.001166083025362318,0.5657791666666666,0.1259,1.0,0.3170385972650603,0.10051347215579708,0.4855916666666667,0.1435,1.0,0.40791443147527534,0.1663941834057971,1.0,1.0,1.0,0.0,0.0
4,4,0.9887375000000002,0.8575,1.0,0.037671564786696386,0.0014191467934782632,0.9827916666666668,0.7148,1.0,0.06241877446567744,0.0038961034057971057,0.9997958333333333,0.9988,1.0,0.0003507497146382397,1.230253623188066e-07,0.961375,0.6267,1.0,0.09794281050916796,0.009592794130434781,0.9006041666666665,0.14300000000000002,1.0,0.21207326354898876,0.04497506911231885,0.9997958333333333,0.9988,1.0,0.0003507497146382397,1.230253623188066e-07,1.0,1.0,1.0,0.0,0.0
5,5,0.9412291666666667,0.8571,1.0,0.06354082206613777,0.00403743606884058,0.8921833333333331,0.7492,0.9998,0.08009413845277791,0.006415071014492757,0.9879291666666665,0.8737,1.0,0.035198486617252826,0.0012389334601449265,0.9235125000000001,0.7502,1.0,0.07487426162806432,0.005606155054347825,0.6930000000000002,0.4299,1.0,0.1270650980026962,0.016145539130434785,0.9878541666666664,0.8737,1.0,0.03517689433317752,0.001237413894927537,1.0,1.0,1.0,0.0,0.0
6,6,0.9942041666666669,0.8743,1.0,0.02555467249314466,0.0006530412862318844,0.9830666666666669,0.7495,1.0,0.05783840056320838,0.0033452805797101436,0.9996583333333334,0.9972,1.0,0.0006990158713547318,4.88623188405815e-07,0.8355833333333335,0.6241,1.0,0.07730234074113133,0.005975651884057974,0.44469166666666665,0.1264,0.7503,0.21827334860249184,0.047643254710144925,0.9996583333333334,0.9972,1.0,0.0006990158713547318,4.88623188405815e-07,1.0,1.0,1.0,0.0,0.0
7,7,0.989216666666667,0.8758,1.0,0.03492459786786219,0.0012197275362318839,0.9728833333333337,0.7509999999999999,1.0,0.06471775958573586,0.0041883884057971055,0.9996125000000003,0.9979,1.0,0.0006159563084448781,3.794021739130418e-07,0.8165291666666666,0.7484,0.998,0.07279678969968191,0.005299372590579714,0.3913666666666667,0.1264,1.0,0.294057247704484,0.08646966492753624,0.9996125000000003,0.9979,1.0,0.0006159563084448781,3.794021739130418e-07,1.0,1.0,1.0,0.0,0.0
8,8,0.9946750000000001,0.8754,1.0,0.0254061486909045,0.0006454723913043485,0.9789916666666668,0.8734,1.0,0.04779328601807787,0.0022841981884057978,0.9998000000000001,0.9983,1.0,0.00037066333019040044,1.3739130434783782e-07,0.81235,0.6233,1.0,0.09045978207973444,0.008182972173913044,0.37342499999999995,0.1261,0.8756,0.276893010651815,0.07666973934782612,0.9998000000000001,0.9983,1.0,0.00037066333019040044,1.3739130434783782e-07,1.0,1.0,1.0,0.0,0.0
9,9,0.9935499999999999,0.8572,1.0,0.029051288978362906,0.00084397739130435,0.8928124999999999,0.7988,1.0,0.08598297765053366,0.007393072445652169,0.2767583333333333,0.1435,0.9993,0.27960052857552,0.07817645557971016,0.93695,0.7988,1.0,0.09112343754251821,0.008303480869565217,0.6258958333333333,0.1438,1.0,0.21498882575444556,0.04622019519927536,0.31244583333333315,0.1435,1.0,0.31435322555473594,0.09881795041666669,1.0,1.0,1.0,0.0,0.0
