,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,intersection,n_points
0,0.8671,0.7337,0.9334,0.8006,0.8661,0.2021,0.8668,8.7692,25
1,0.8667,0.8002,0.9334,0.6673,0.933,0.2021,0.8668,10.0,25
2,0.8672,0.7339,0.9334,0.8007,0.8664,0.2024,0.9333,8.4615,25
3,0.8578,0.7864,1.0,0.8579,0.8566,0.2171,0.9285,6.7692,25
4,0.9337,0.7337,0.9993,0.9321,0.8675,0.6026,0.9332,2.8462,25
5,0.7158,0.7158,1.0,0.8578,0.8563,0.2172,0.9283,6.3077,25
6,0.7164,0.7164,1.0,0.8581,0.8571,0.2174,0.9285,6.3846,25
7,0.9319,0.732,0.9996,0.9328,0.8663,0.8673,0.9328,6.1538,25
8,0.7158,0.7158,1.0,0.8578,0.8563,0.2172,0.9283,6.3077,25
9,0.8575,0.642,1.0,0.7139,0.9286,0.2159,0.9289,11.4615,25
10,0.8557,0.784,0.9999,0.7132,0.9277,0.5711,0.9274,10.6923,25
11,0.9281,0.7852,1.0,0.7139,0.9285,0.2158,0.9289,11.6923,25
12,0.9223,0.9223,0.9995,0.7689,0.9219,0.6159,0.9224,13.0769,25
13,0.856,0.856,0.9285,0.7134,0.928,0.8571,0.8569,13.4615,25
14,1.0,0.8462,1.0,0.7689,1.0,0.2323,0.3071,11.3077,25
15,1.0,1.0,1.0,0.9998,0.9995,0.3347,0.4446,16.0,25
16,0.9162,0.832,0.9999,0.7488,0.9994,0.5009,0.4156,13.6154,25
17,0.9089,0.9089,1.0,0.8173,0.9997,0.6371,0.3631,13.7692,25
18,1.0,0.9223,1.0,0.7685,0.9995,0.7687,0.3837,13.7692,25
19,1.0,0.9223,1.0,0.7685,0.9995,0.8461,0.9225,13.7692,25
20,1.0,1.0,1.0,0.9998,0.9995,0.3347,0.4446,16.0,25
21,1.0,1.0,1.0,0.3344,0.9995,0.3346,0.3344,16.0,25
22,0.9997,0.8993,1.0,0.8999,0.9999,0.3018,0.3008,14.4615,25
23,1.0,1.0,1.0,0.9996,0.9996,0.3347,0.3337,16.0,25
24,1.0,0.9223,1.0,0.7685,0.9995,0.7694,0.3837,13.7692,25
25,1.0,0.9223,1.0,0.7685,0.9995,0.8461,0.9225,13.7692,25
26,0.9223,0.9223,0.923,0.7686,0.9224,0.6163,0.8452,14.0769,25
27,0.7993,0.7993,0.9338,0.6665,0.867,0.5337,0.8667,11.9231,25
28,0.7837,0.7122,0.9993,0.6413,0.9276,0.4997,0.9276,11.6923,25
29,0.8557,0.7841,0.9999,0.7133,0.9277,0.5712,0.9274,10.6923,25
30,0.8575,0.6421,1.0,0.714,0.9286,0.216,0.9289,11.4615,25
31,0.8557,0.7841,0.9999,0.7136,0.9272,0.5005,0.9277,9.3077,25
32,0.8557,0.7841,0.9996,0.7134,0.9991,0.5719,0.9274,11.1538,25
33,0.9225,0.9225,0.9997,0.7689,0.9221,0.5391,0.9226,13.0769,25
34,0.856,0.856,0.9285,0.7134,0.928,0.8571,0.8569,13.4615,25
35,0.8561,0.8561,0.999,0.7138,0.999,0.5717,0.8565,12.6154,25
36,0.8557,0.784,0.9993,0.7132,0.9277,0.5713,0.9274,11.6923,25
37,0.9223,0.9223,0.9228,0.7684,0.9225,0.5396,0.9224,14.0,25
38,0.9995,0.8991,1.0,0.8999,0.9997,0.3019,0.3008,14.4615,25
39,0.9998,0.8993,1.0,0.8999,0.9999,0.3018,0.3015,14.4615,25
40,0.8993,0.8993,1.0,0.9996,0.9999,0.3019,0.3014,14.4615,25
41,0.8993,0.8993,1.0,0.9996,0.9999,0.3019,0.3014,14.4615,25
42,0.9997,0.8993,1.0,0.9996,0.9999,0.3019,0.3014,14.4615,25
43,0.9997,0.8993,1.0,0.9996,0.9999,0.3019,0.3014,14.4615,25
44,0.9997,0.8993,1.0,0.9996,0.9999,0.3019,0.3007,14.4615,25
45,0.9997,0.8993,1.0,0.9996,0.9999,0.3019,0.3014,14.4615,25
46,0.9997,0.8993,1.0,0.8999,0.9999,0.3018,0.3008,14.4615,25
47,0.9996,0.8992,1.0,0.9,0.9996,0.3019,0.4006,14.4615,25
48,0.9996,0.8992,1.0,0.9,0.9997,0.3019,0.4012,14.4615,25
49,0.9999,0.9999,1.0,0.8997,0.9999,0.302,0.3007,14.6923,25
50,0.9996,0.8992,1.0,0.9,0.9996,0.3019,0.4006,14.4615,25
51,0.9993,0.8989,1.0,0.8997,0.9995,0.7009,0.3997,14.6923,25
52,1.0,0.9223,0.923,0.7685,0.9225,0.5397,0.9225,14.0769,25
53,0.9996,0.8992,1.0,0.9,0.9997,0.3019,0.3009,14.4615,25
54,0.9996,0.8992,1.0,0.9,0.9997,0.3019,0.3009,14.4615,25
55,0.9996,0.8992,1.0,0.9,0.9997,0.3019,0.3009,14.4615,25
56,0.9998,0.8993,0.9999,0.8999,0.9999,0.3018,0.3015,14.4615,25
57,0.8993,0.8993,1.0,0.9996,0.9999,0.3019,0.3014,14.4615,25
58,0.9997,0.8993,1.0,0.9996,0.9999,0.3019,0.3014,14.4615,25
59,0.9997,0.8993,1.0,0.9996,0.9999,0.3019,0.3014,14.4615,25
60,0.9997,0.8993,1.0,0.9996,0.9999,0.3019,0.3014,14.4615,25
61,0.9996,0.8992,1.0,0.9,0.9997,0.3019,0.3007,14.4615,25
62,0.9996,0.8992,1.0,0.9,0.9997,0.3019,0.3008,14.4615,25
63,0.9995,0.8992,1.0,0.8997,0.9999,0.302,0.3007,14.6923,25
64,0.9996,0.8992,1.0,0.9,0.9996,0.3019,0.4006,14.4615,25
65,0.9996,0.8992,1.0,0.9,0.9997,0.3019,0.3008,14.4615,25
66,0.9999,0.9999,1.0,0.8997,0.9998,0.302,0.3007,14.6923,25
67,0.9998,0.9998,1.0,0.8997,0.9995,0.7009,0.3997,14.6923,25
68,0.9997,0.8993,1.0,0.8999,0.9999,0.3018,0.3008,14.4615,25
69,0.9996,0.8992,1.0,0.9,0.9997,0.3019,0.3007,14.4615,25
70,0.9996,0.8992,1.0,0.9,0.9997,0.3019,0.3009,14.4615,25
71,0.9998,0.8993,1.0,0.8999,0.9999,0.3018,0.3007,14.4615,25
72,0.9998,0.8993,0.9999,0.8999,0.9999,0.3018,0.3015,14.4615,25
73,0.9997,0.7995,0.9998,0.9996,0.9999,0.3019,0.3014,14.4615,25
74,1.0,1.0,1.0,0.3344,0.9995,0.3346,0.3344,16.0,25
75,0.9998,0.7996,0.9997,0.8001,1.0,0.9003,0.3015,14.4615,25
76,0.9998,0.7996,0.9998,0.8001,1.0,0.9003,0.3014,14.4615,25
77,0.7999,0.7001,1.0,0.9001,0.9998,0.302,0.3015,14.4615,25
78,0.7777,0.6668,1.0,0.6675,0.9988,0.3355,0.3343,14.4615,25
79,0.7776,0.6668,1.0,0.6675,0.9988,0.3355,0.3343,14.4615,25
80,0.7998,0.7001,1.0,0.9001,0.9998,0.302,0.3015,14.4615,25
81,0.9998,0.7996,0.9998,0.8001,1.0,0.9003,0.3014,14.4615,25
82,0.8891,0.8891,1.0,0.3344,0.9996,0.3346,0.3344,16.0,25
83,0.8891,0.8891,1.0,0.3344,0.9996,0.3346,0.3344,16.0,25
84,0.9998,0.7996,0.9997,0.8001,1.0,0.9003,0.3015,14.4615,25
85,0.8993,0.8993,1.0,0.8002,1.0,0.9003,0.3015,14.4615,25
86,0.8993,0.8993,1.0,0.8002,1.0,0.9003,0.3015,14.4615,25
87,1.0,1.0,1.0,0.9091,0.9996,0.2741,0.3634,15.6923,25
88,0.9999,0.9999,1.0,0.9982,0.9982,0.7784,0.9982,16.0,25
89,1.0,0.9165,1.0,1.0,0.9171,0.7509,1.0,9.1538,25
90,1.0,1.0,1.0,0.9983,0.9983,0.9984,0.9983,16.0,25
91,1.0,1.0,1.0,0.9993,0.9993,0.9994,0.9993,16.0,25
92,0.9999,0.9999,1.0,0.9982,0.9983,0.9983,0.9982,16.0,25
93,0.9999,0.9999,1.0,0.9983,0.9983,0.9983,0.9983,16.0,25
94,0.9999,0.9999,1.0,0.9982,0.9982,0.7784,0.9982,16.0,25
95,0.9999,0.9999,1.0,0.9982,0.9982,0.7784,0.9982,16.0,25
96,1.0,1.0,1.0,0.9983,0.9983,0.9984,0.9983,16.0,25
97,0.9999,0.9999,1.0,0.9982,0.9982,0.7784,0.9982,16.0,25
98,0.9999,0.9999,1.0,0.9991,0.9991,0.9992,0.9991,16.0,25
99,1.0,1.0,1.0,0.9995,0.9995,0.8998,0.8998,14.4615,25
100,0.9999,0.9999,1.0,0.9994,0.9994,0.8999,0.8997,14.4615,25
101,1.0,1.0,1.0,0.9995,0.9995,0.8998,0.8998,14.4615,25
102,1.0,1.0,1.0,0.9999,0.9994,0.9994,0.4438,16.0,25
103,1.0,1.0,1.0,0.9991,0.9991,0.9991,0.9991,16.0,25
104,1.0,1.0,1.0,0.9995,0.9995,0.8998,0.8998,14.4615,25
105,1.0,1.0,1.0,0.9992,0.7782,0.9993,0.9992,16.0,25
106,1.0,0.9165,1.0,1.0,0.9171,0.7509,0.9999,9.1538,25
107,1.0,1.0,1.0,0.9983,0.9983,0.9984,0.9983,16.0,25
108,1.0,0.9165,1.0,1.0,0.9171,0.751,1.0,9.1538,25
109,1.0,0.9165,1.0,1.0,0.9171,0.7509,1.0,9.1538,25
110,1.0,0.9165,1.0,1.0,0.9171,0.7509,1.0,9.1538,25
111,0.923,0.8459,0.9236,0.923,0.8471,0.8472,0.7689,8.4615,25
112,1.0,1.0,1.0,1.0,0.9171,0.7509,1.0,9.1538,25
113,0.9991,0.8568,0.9992,0.9991,0.8581,0.8567,0.9277,7.9231,25
114,0.9999,0.9165,0.9172,0.9999,0.9171,1.0,0.9999,9.2308,25
115,1.0,0.9165,1.0,1.0,0.9172,0.9172,0.7498,9.2308,25
116,0.9996,0.8568,0.9997,0.9997,0.8582,0.8583,0.8566,7.7692,25
117,0.9998,0.8569,0.9998,0.9285,0.7146,0.8579,0.7858,8.7692,25
118,0.8755,0.7507,0.9386,0.9378,0.8133,0.626,0.875,7.1538,25
119,0.9368,0.8741,0.9375,0.9365,0.8116,0.7499,0.8739,5.5385,25
120,0.8753,0.8753,0.9997,0.9373,0.9361,0.8121,0.874,6.6923,25
121,0.8746,0.8126,0.9378,0.9377,0.9375,0.9378,0.8753,6.3077,25
122,0.9375,0.7494,0.9376,0.9374,0.8745,0.9376,0.9376,6.0769,25
123,0.9331,0.8669,1.0,0.9335,0.9332,0.7337,0.8669,7.0769,25
124,0.9375,0.7494,0.9376,0.9374,0.8745,0.9376,0.9376,6.0769,25
125,0.8745,0.7503,0.9384,0.9368,0.9367,0.7514,0.8732,5.6154,25
126,0.8747,0.8127,0.9378,0.9378,0.9375,0.9378,0.8753,6.3077,25
127,0.9378,0.8757,0.938,0.9378,0.9366,0.7506,0.8745,6.8462,25
128,0.9317,0.8656,0.9999,0.9335,0.9326,0.8003,0.8665,6.9231,25
129,0.9331,0.8669,1.0,0.9335,0.9332,0.7337,0.8669,7.0769,25
130,0.9998,0.8574,1.0,0.9998,0.9282,0.7858,0.9998,9.1538,25
131,0.9998,0.9998,1.0,0.9998,0.9162,0.9164,0.8336,11.3077,25
132,0.9317,0.8656,0.9999,0.9335,0.9326,0.8003,0.8665,6.9231,25
133,0.9998,0.933,1.0,0.9336,0.9332,0.8664,0.8669,7.6154,25
134,0.8745,0.8119,0.9378,0.9376,0.8747,0.938,0.9376,6.3846,25
135,0.8743,0.8117,0.938,0.9374,0.8746,0.9376,0.8119,5.6923,25
136,0.9322,0.8655,0.9997,0.9996,0.8665,0.9335,0.8656,6.3846,25
137,0.9323,0.8655,0.9993,0.9311,0.8661,0.801,0.9304,5.6154,25
138,0.9324,0.8657,0.9994,0.9312,0.8663,0.8677,0.8641,5.6154,25
139,0.8656,0.7988,0.9997,0.998,0.7991,0.6678,0.931,5.8462,25
140,0.9319,0.8652,0.9993,0.9992,0.9323,0.9336,0.9322,6.3846,25
141,0.9315,0.7986,0.9997,0.9315,0.8002,0.8674,0.931,4.8462,25
142,0.9322,0.8655,0.9997,0.9996,0.8665,0.9335,0.8656,6.3846,25
143,0.9315,0.7986,0.9997,0.9315,0.8662,0.8674,0.9988,4.8462,25
144,0.8577,0.7863,1.0,0.8578,0.8565,0.2169,0.9284,7.0,25
145,0.8559,0.7843,0.9999,0.7135,0.9277,0.5009,0.9274,10.6923,25
146,0.7156,0.7156,1.0,0.8577,0.856,0.217,0.9282,6.3077,25
147,0.9332,0.9332,0.9336,0.9332,0.8671,0.8671,0.9332,1.0,25
148,0.8649,0.7317,0.9339,0.9313,0.8005,0.8008,0.9323,1.6154,25
149,0.8577,0.7862,0.9999,0.8578,0.8564,0.2169,0.9286,7.0769,25
