x,index,apx-s_mean,apx-s_min,apx-s_max,apx-s_std,apx-s_var,apx-s-na_mean,apx-s-na_min,apx-s-na_max,apx-s-na_std,apx-s-na_var,mr-s_mean,mr-s_min,mr-s_max,mr-s_std,mr-s_var,GeRt-s_mean,GeRt-s_min,GeRt-s_max,GeRt-s_std,GeRt-s_var,GLp-s_mean,GLp-s_min,GLp-s_max,GLp-s_std,GLp-s_var,GSw-s_mean,GSw-s_min,GSw-s_max,GSw-s_std,GSw-s_var,opt-s_mean,opt-ss_min,opt-s_max,opt-s_std,opt-s_var
0,0,0.9935541666666666,0.9293,1.0,0.0187404695585613,0.0003512051992753628,0.9909583333333333,0.9293,1.0,0.021949901785789316,0.00048179818840579706,0.9990041666666668,0.9973,1.0,0.0008710209734741802,7.586775362319085e-07,0.6128999999999999,0.4705,0.6916,0.06236165906820577,0.0038889765217391308,0.45697083333333327,0.0594,0.6471,0.15761644275062903,0.02484294302536232,0.9989166666666668,0.9973,1.0,0.0008375256863895691,7.014492753623189e-07,1.0,1.0,1.0,0.0,0.0
1,1,0.9907166666666666,0.9293,1.0,0.021940704016818215,0.000481394492753623,0.9907166666666666,0.9293,1.0,0.021940704016818215,0.000481394492753623,0.9988583333333332,0.9975,1.0,0.0007113469566629227,5.06014492753602e-07,0.6088541666666668,0.4976,0.6853,0.0573275863419794,0.003286452155797103,0.5257666666666666,0.0594,0.6948,0.13343623348175374,0.0178052284057971,0.9985791666666667,0.9964,1.0,0.0007678197063434224,5.895471014492994e-07,1.0,1.0,1.0,0.0,0.0
2,2,0.9988041666666668,0.9978,1.0,0.0006924933945167106,4.795471014492766e-07,0.9988041666666668,0.9978,1.0,0.0006924933945167106,4.795471014492766e-07,0.9986708333333333,0.9972,1.0,0.0008179928598958676,6.691123188406205e-07,0.6160791666666666,0.4976,0.7116,0.04238189707027474,0.0017962251992753625,0.5951291666666667,0.3875,0.6954,0.06904581641557113,0.004767324764492751,0.9986375000000001,0.9972,1.0,0.0007767336849856005,6.033152173913101e-07,1.0,1.0,1.0,0.0,0.0
3,3,0.9928499999999999,0.9228,1.0,0.02075276828050533,0.0004306773913043481,0.9928499999999999,0.9228,1.0,0.02075276828050533,0.0004306773913043481,0.9961708333333333,0.932,1.0,0.01368510708022049,0.00018728215579710098,0.6061374999999999,0.2713,0.7693,0.15144614428754938,0.022935934619565227,0.5393249999999999,0.0717,0.6696,0.152625669531701,0.023294595000000008,0.9959541666666666,0.932,1.0,0.013655130558867249,0.0001864625905797102,1.0,1.0,1.0,0.0,0.0
4,4,0.9794708333333335,0.9222,0.9995,0.031137597561213076,0.0009695499818840626,0.9715291666666669,0.8749,0.9995,0.03793480080768644,0.0014390491123188482,0.9909291666666667,0.9332,1.0,0.0208919888779255,0.00043647519927536284,0.6789541666666664,0.4714,0.8456,0.0992744416478519,0.009855414764492752,0.5805750000000001,0.439,0.7502,0.06992085743430085,0.004888926304347824,0.9909291666666667,0.9332,1.0,0.0208919888779255,0.00043647519927536284,1.0,1.0,1.0,0.0,0.0
5,5,0.9663041666666666,0.8745,0.9993,0.03585032264928687,0.0012852456340579715,0.9314624999999999,0.8733,0.9985,0.027360361879439982,0.0007485894021739125,0.9991416666666669,0.9983,1.0,0.0004942422101751889,2.442753623188556e-07,0.5953541666666666,0.4381,0.8107,0.10317082912279059,0.010644219981884055,0.6753874999999999,0.4735,0.9382,0.1322351078571799,0.017486123750000002,0.9991416666666669,0.9983,1.0,0.0004942422101751889,2.442753623188556e-07,1.0,1.0,1.0,0.0,0.0
6,6,0.996729166666667,0.9413,0.9999,0.01182486250188159,0.00013982737318840534,0.9941291666666671,0.9369,0.9999,0.016974033344229474,0.00028811780797101405,0.9991041666666668,0.9976,1.0,0.0007226034853925002,5.221557971013892e-07,0.6123125,0.4698,0.6859,0.06090942893024608,0.003709958532608698,0.4209791666666667,0.0595,0.6486,0.1646380931650221,0.02710570172101449,0.999016666666667,0.9976,1.0,0.0006882028686410434,4.7362318840576123e-07,1.0,1.0,1.0,0.0,0.0
7,7,0.9970125000000002,0.9374,1.0,0.01269930886513805,0.00016127244565217387,0.9867750000000002,0.875,1.0,0.03151240266528611,0.0009930315217391312,0.9996083333333333,0.9991,1.0,0.00023015432755600407,5.297101449275642e-08,0.5728833333333333,0.4705,0.6879,0.053174876927284766,0.0028275675362318814,0.45572083333333335,0.1768,0.6477,0.13489626603646118,0.01819700259057971,0.9995708333333334,0.9991,1.0,0.00025448868885203274,6.476449275362674e-08,1.0,1.0,1.0,0.0,0.0
8,8,0.9969041666666669,0.9402,0.9999,0.01208928663938759,0.0001461508514492753,0.9943125000000003,0.9363,0.9999,0.017283551177473575,0.00029872114130434816,0.9993791666666669,0.998,0.9999,0.0005056026680813925,2.556340579710227e-07,0.58425,0.4708,0.6859999999999999,0.05314294914170893,0.002824173043478262,0.43223750000000005,0.0595,0.5886,0.14797525590008506,0.02189667635869566,0.9993083333333338,0.998,0.9998,0.0005290817859573913,2.7992753623186283e-07,1.0,1.0,1.0,0.0,0.0
9,9,0.9987708333333334,0.9969,1.0,0.0010114471623959766,1.023025362318873e-06,0.9987708333333334,0.9969,1.0,0.0010114471623959766,1.023025362318873e-06,0.9957791666666668,0.9274,1.0,0.014599493117069637,0.0002131451992753637,0.5955374999999999,0.3622,0.8174,0.12259327526950389,0.015029111141304355,0.6040875000000002,0.45799999999999996,0.7299,0.07845782202531833,0.006155629836956525,0.9956166666666667,0.9274,1.0,0.014563613582477099,0.00021209884057971144,1.0,1.0,1.0,0.0,0.0
