x,index,Col-M_mean,Col-M_min,Col-M_max,Col-M_std,Col-M_var,Col-M-na_mean,Col-M-na_min,Col-M-na_max,Col-M-na_std,Col-M-na_var,MR-M_mean,MR-M_min,MR-M_max,MR-M_std,MR-M_var,GeRt-M_mean,GeRt-M_min,GeRt-M_max,GeRt-M_std,GeRt-M_var,GLp-M_mean,GLp-M_min,GLp-M_max,GLp-M_std,GLp-M_var,GSw-M_mean,GSw-M_min,GSw-M_max,GSw-M_std,GSw-M_var,apx-m_mean,apx-ms_min,apx-m_max,apx-m_std,apx-m_var
0,0,0.8799749999999998,0.7844,1.0,0.05343714104888343,0.002855528043478263,0.6196416666666668,0.5355,0.7247,0.05324932264657308,0.002835490362318841,0.9142375,0.8267,0.9647,0.03987938131851882,0.001590365054347828,0.8556458333333333,0.7654,0.9542,0.04557574659329495,0.0020771486775362363,0.48264166666666664,0.2511,0.9285,0.20194576309465884,0.04078209123188407,0.7757124999999997,0.2735,0.9309999999999999,0.253772502214946,0.06440048288043478,0.9768958333333332,0.9499,1.0,0.01876945898473661,0.0003522925905797099
1,1,0.8871208333333332,0.7735,1.0,0.06347204094626277,0.004028699981884058,0.59255,0.4802,0.6896,0.05401945704216622,0.002918101739130442,0.9196124999999999,0.8608,0.9997,0.03968952673702092,0.0015752585326086986,0.8488875000000001,0.6807,0.9326,0.07496049575551811,0.005619075923913049,0.6215041666666665,0.2675,0.8798,0.15460140186992138,0.02390159346014493,0.789745833333333,0.3191,0.9302,0.2068130325116545,0.04277163041666666,0.96795,0.9329999999999999,1.0,0.01636860728186203,0.00026793130434782673
2,2,0.8670874999999999,0.8096,1.0,0.051346819998058756,0.0026364959239130467,0.5493083333333333,0.5185,0.6,0.025747754932381392,0.0006629468840579704,0.9386958333333331,0.875,0.9997,0.029139476871056582,0.0008491091123188415,0.8554125,0.7129,0.9159999999999999,0.05851562639678993,0.003424078532608698,0.6484916666666667,0.3647,0.9259999999999999,0.16904987151125261,0.028577859057971017,0.46942500000000004,0.2918,0.9132,0.21942687649974602,0.04814815413043479,0.968925,0.9237,1.0,0.024371566647828913,0.0005939732608695666
3,3,0.760525,0.6524,0.9998,0.09404105602018359,0.00884372021739131,0.5464583333333332,0.4509,0.6798,0.06358714606685487,0.004043325144927536,0.9333416666666664,0.8224,0.9998,0.05273920179332544,0.002781423405797101,0.8462833333333334,0.6441,0.9490000000000001,0.10324422151075728,0.010659369275362316,0.5567458333333334,0.2511,0.8821,0.17514227006777308,0.030674814764492762,0.6205333333333335,0.3005,0.9562,0.2874064803158346,0.08260248492753622,0.9797000000000001,0.9412,1.0,0.024464384050217204,0.0005985060869565219
4,4,0.8419249999999999,0.6359,0.9629,0.10673445004349325,0.011392242826086956,0.6412583333333334,0.5593,0.7858,0.06921980061443006,0.004791380797101451,0.9314541666666666,0.8182,0.9999,0.042534088417835306,0.0018091486775362313,0.8505125000000003,0.7215,0.9996,0.07846178971736607,0.0061562524456521715,0.7870374999999998,0.4355,0.9995,0.1485655054249603,0.02207170940217391,0.8906916666666667,0.7507,0.9995,0.05366364583270478,0.002879786884057973,0.9729750000000003,0.9237,1.0,0.025219613657696646,0.0006360289130434791
5,5,0.9063499999999998,0.8066,0.9677,0.03797179731464324,0.0014418573913043472,0.7575875000000001,0.7096,0.8628,0.03220938713426905,0.0010374446195652168,0.9302125000000002,0.8991,0.9670000000000001,0.023635314633532755,0.0005586280978260875,0.8251874999999999,0.7234,0.935,0.044460136639466116,0.0019767037499999972,0.7329083333333335,0.4851,0.8711,0.09652779242345143,0.009317614710144927,0.8346958333333334,0.7093,0.8991,0.044955818689664334,0.002021025634057973,0.9781124999999999,0.9358,0.9999,0.018142990322052417,0.0003291680978260877
6,6,0.8761375,0.7597,0.9333,0.055682288281471266,0.003100517228260872,0.6658541666666666,0.5670000000000001,0.9309,0.0746901482308987,0.005578618242753621,0.9083541666666665,0.8609,0.9649,0.026359966008532982,0.0006948478079710143,0.8690458333333333,0.7904,0.9295,0.042487819013133116,0.0018052147644927556,0.5311291666666668,0.2087,0.8632,0.2110510374688233,0.044542540416666665,0.904095833333333,0.8662,0.9333,0.02138722656505339,0.0004574134601449255,0.9702666666666667,0.9331,1.0,0.01800136870802657,0.00032404927536231826
7,7,0.8662374999999999,0.7666,0.9349,0.05949403194402378,0.0035395398369565214,0.6702166666666667,0.5670000000000001,0.9309,0.1028017749240558,0.01056820492753623,0.9257583333333335,0.838,0.9647,0.02223553592722727,0.0004944190579710148,0.8427166666666667,0.799,0.9294,0.030255544467328477,0.0009153979710144908,0.46928333333333333,0.1743,0.863,0.22769467669908636,0.051844865797101465,0.9130416666666666,0.8379,0.9309,0.026542548559962555,0.0007045068840579702,0.9771874999999999,0.9651,1.0,0.016337242396758253,0.0002669054891304353
8,8,0.8686291666666666,0.7597,0.9309,0.05175730554748993,0.0026788186775362323,0.7073875,0.5859,0.9309,0.12007902583570611,0.014418972445652175,0.9238208333333334,0.8953,0.9333,0.012958729780971288,0.00016792867753623217,0.8364333333333335,0.7654,0.9286,0.03205875945776776,0.0010277640579710136,0.5204624999999999,0.2767,0.8627,0.21937852301147362,0.04812693635869566,0.9091291666666668,0.8073,0.9309999999999999,0.0314220288162228,0.000987343894927536,0.9728458333333333,0.9338,1.0,0.01721773552667908,0.00029645041666666696
9,9,0.7794083333333331,0.6011,1.0,0.11005067574478615,0.012111151231884061,0.5146541666666665,0.4513,0.5999,0.04673364842303171,0.002184033894927534,0.9306708333333337,0.8,0.9996,0.05325580171837309,0.0028361804166666697,0.8209416666666667,0.6296,0.9194,0.08977846607630639,0.008060172971014497,0.46898333333333336,0.27399999999999997,0.7041,0.12891182583680874,0.016618258840579707,0.4486333333333335,0.2735,0.905,0.22834392951188245,0.05214095014492755,0.9717791666666665,0.9001,1.0,0.03219462524906193,0.0010364938949275358
