,opt_reward,knapsack,knapsack_reward,knapsack_cost,col,col_reward,col_cost,col_na,col_reward_na,col_cost_na,BIN,BIN_reward,BIN_cost,CRp,CRp_reward,CRp_cost,Sw,Sw_reward,Sw_cost,Lp,Lp_reward,Lp_cost,MR,MR_reward,MR_cost
0,2372.4565,0.9583,2273.6042,4020.6208,0.9495,2264.2083,4036.2875,0.9351,2234.7167,3371.8833,0.9298,2226.9125,3607.7125,0.0534,101.7708,4514.6125,0.0679,125.0083,3956.7875,0.9298,2272.5208,4042.7708,0.8152,1987.2583,2881.85
1,6181.2828,0.9577,5922.6875,10846.9625,0.9541,5905.0333,10760.7042,0.9481,5871.2917,9186.725,0.9126,5601.1333,9906.2875,0.1611,790.5208,11617.5708,0.1839,1196.4083,10492.2542,0.9126,5882.1292,9779.0542,0.8716,5255.3792,8498.5917
2,9064.413,0.9583,8686.7292,17372.9125,0.9571,8678.9333,17273.7458,0.9535,8635.2875,14632.7542,0.928,8330.0292,15786.3417,0.2787,2135.5042,18651.7583,0.315,2923.1167,14053.7958,0.928,8640.2792,15606.8042,0.9302,8348.875,15698.8167
3,2888.613,0.9583,2768.2542,8449.3083,0.9361,2742.8792,8036.1583,0.8793,2563.6125,5354.9667,0.847,2438.7083,6246.1708,0.1809,430.5958,8737.225,0.1814,585.1208,8511.3417,0.847,2732.7625,7948.5958,0.7343,2067.4667,4552.0292
4,7206.8652,0.9583,6906.5792,20538.05,0.947,6824.0083,19949.1375,0.9185,6597.3042,13424.1042,0.8812,6215.3125,15845.875,0.3326,2066.1458,23412.7208,0.3631,2523.15,21785.5625,0.8812,6480.2375,15343.5125,0.8182,5558.7333,12632.2333
5,10812.8957,0.9583,10362.3583,30425.6542,0.95,10274.4458,30216.9583,0.9344,10064.1625,20973.5,0.9077,9671.1583,24676.625,0.4508,4301.4833,36101.975,0.3526,3276.8417,22050.275,0.9077,9910.925,23491.4,0.9123,9599.1625,25393.6792
6,2801.5641,0.975,2731.525,4703.2625,0.9546,2690.0042,4673.8667,0.9382,2650.7417,3859.4167,0.8578,2450.9458,4087.6667,0.0135,41.125,4821.325,0.0607,180.8083,4303.6708,0.8578,2713.1,4673.1667,0.7331,2179.5875,3394.0625
7,7329.4694,0.9722,7133.9708,13012.2333,0.9621,7078.825,12971.9667,0.9477,6995.6583,10524.425,0.8856,6600.0083,11631.825,0.0345,253.3792,14312.2458,0.0882,684.3125,11896.5,0.8856,7052.2375,12423.5792,0.7958,5690.6417,9679.4292
8,10697.639,0.9744,10426.7625,20876.9375,0.9665,10371.125,21007.9458,0.9482,10202.7125,16572.6958,0.9095,9833.8917,18794.3083,0.0871,656.4042,23239.1583,0.1186,1039.3667,18521.3667,0.9095,10340.8125,19410.2625,0.8792,9114.4667,17227.2417
9,3584.6368,0.975,3495.0208,9630.1875,0.9307,3362.175,9535.9125,0.8716,3139.3917,5384.1875,0.7645,2815.1958,7189.3917,0.0243,74.875,9835.9833,0.0909,379.4042,9089.2542,0.7645,3370.8458,9537.45,0.6474,2320.2917,5402.725
10,9365.6352,0.9745,9125.7542,26337.3,0.9479,8900.825,26628.2625,0.8967,8324.15,14841.15,0.8001,7578.0458,19402.6042,0.1004,679.4208,28948.8,0.1726,1377.0708,25544.4333,0.8001,8688.4375,24222.7,0.7083,5945.35,15397.8708
11,13941.4481,0.9745,13582.7958,41812.1208,0.9529,13259.4417,41769.6417,0.9101,12489.35,23465.3167,0.8381,11662.0333,31374.6292,0.1803,2240.5792,44872.775,0.2292,2609.0375,40238.4667,0.8381,12765.3,33467.0125,0.811,10320.5417,28843.9333
12,2706.2521,0.975,2638.5958,4782.075,0.9577,2603.0917,4704.6625,0.9158,2518.4542,3454.9,0.8626,2347.0583,4125.625,0.0201,41.8833,4870.275,0.0405,96.4208,4526.8875,0.8626,2612.7458,4700.5417,0.7475,1933.7542,3117.3792
13,7521.9049,0.9744,7331.325,13705.9208,0.9586,7250.35,13379.875,0.9138,6989.225,9856.15,0.8773,6624.0875,11763.7417,0.0414,301.0875,14375.5417,0.0773,538.0333,12510.0667,0.8773,7251.925,12523.3375,0.8298,6044.6875,10000.1708
14,11621.8465,0.9736,11326.0042,21466.425,0.9573,11224.6625,21132.35,0.9243,10908.7667,15821.85,0.8782,10231.875,19125.6708,0.0635,636.4417,23649.0417,0.1015,1162.3833,20231.8375,0.8782,11090.5125,18894.6,0.8804,10054.8,17712.2
15,3447.9872,0.975,3361.7875,9198.875,0.9131,3176.8208,8997.2625,0.8274,2838.5083,4997.0,0.7644,2528.4792,7046.7042,0.0317,115.6,9893.6083,0.0897,271.8208,9215.7167,0.7644,3235.625,8963.9958,0.6658,2056.6208,5031.5625
16,9659.5942,0.9741,9411.4667,27289.775,0.9236,8937.7458,25955.175,0.8401,7975.7208,13859.6125,0.8028,7549.0875,19572.8208,0.0691,497.1542,29289.3417,0.1194,1184.8583,26842.0625,0.8028,8876.4958,22606.5667,0.7469,6571.7,15673.5375
17,14708.548,0.9738,14317.2375,42024.3708,0.944,13884.725,40454.5292,0.8727,12600.3667,22040.7375,0.8237,11734.3708,31552.5583,0.0957,1232.2625,47963.8583,0.1551,2383.2042,43042.1292,0.8237,12840.325,29312.4333,0.8121,11198.6625,27869.8708
