,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,BIN_naive,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,BIN_naive_reward,BIN_naive_cost,#BIN
0,0.9817,0.9421,1.0,0.901,0.0,0.9421,0.0565,0.956,0.0,20.7632,75,2678,22201,2570,12950,2728,37042,2458,13721,2570,12950,154,45192,0,48732,2608,30603,0,7151,26
1,0.8832,0.8314,1.0,0.7824,0.0,0.8314,0.1576,0.8028,0.0631,24.9737,75,3682,19718,3466,12401,4169,35493,3262,11253,3466,12401,657,44042,0,48375,3347,17605,263,8944,25
2,0.9519,0.9519,1.0,0.9519,0.0087,0.9519,0.0287,0.9368,0.2201,21.2895,75,1959,14033,1959,11040,2058,22529,1959,14033,1959,11040,59,43110,18,48582,1928,18328,453,453,15
3,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.2374,14.6842,75,1015,20844,1015,11752,1015,20548,1015,20844,1015,11752,0,44170,0,48837,1015,14688,241,241,11
4,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3684,75,71,49775,71,44748,71,49617,71,49619,71,49050,0,46048,0,48721,71,49301,0,7111,73
5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.2374,14.6842,75,1015,20844,1015,11752,1015,20548,1015,20844,1015,11752,0,44170,0,48837,1015,14688,241,241,11
6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.262,10.3421,75,519,21976,519,12181,519,20243,519,21976,519,12181,0,43984,0,48828,519,15100,136,136,9
7,1.0,0.989,1.0,1.0,0.0443,1.0,0.2712,0.9951,0.0,3.1316,75,2459,48871,2432,9106,2459,49119,2459,49393,2459,48527,667,45788,109,48766,2447,48502,0,4764,67
8,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.2374,14.6842,75,1015,20844,1015,11752,1015,20548,1015,20844,1015,11752,0,44170,0,48837,1015,14688,241,241,11
9,0.9924,0.8966,1.0,0.5547,0.0079,0.7041,0.0428,0.649,0.1571,21.4737,75,7170,42549,6478,23095,7225,48824,4008,17070,5087,21924,309,45171,57,47998,4689,22987,1135,6708,45
10,1.0,0.9053,1.0,0.7682,0.0146,0.9053,0.0196,0.8782,0.0,21.5789,75,5905,34403,5346,14112,5905,34635,4536,10369,5346,14112,116,43683,86,49071,5186,18446,0,6968,38
11,0.991,0.8272,1.0,0.533,0.0155,0.6914,0.0985,0.6547,0.1559,22.1842,75,9473,47783,7907,23711,9559,48036,5095,16634,6609,22128,942,44665,148,48360,6258,29176,1490,7447,42
12,0.9506,0.8677,1.0,0.7592,0.0241,0.8544,0.1206,0.8819,0.0,27.0263,75,6905,34661,6303,16376,7264,35175,5515,11514,6206,12971,876,46098,175,48516,6406,30141,0,5607,26
13,0.8931,0.7488,0.9942,0.5593,0.1075,0.6817,0.1906,0.6434,0.0331,27.2895,75,11543,48577,9677,26739,12849,41529,7229,9121,8810,13646,2463,43696,1389,48339,8315,17553,428,7383,30
14,0.9369,0.6678,1.0,0.486,0.1047,0.6586,0.0846,0.6309,0.0038,25.9211,75,17614,45187,12555,18353,18800,48682,9137,17685,12381,27377,1591,42754,1968,48745,11860,20633,72,6745,35
15,0.9708,0.8842,1.0,0.612,0.1968,0.7251,0.2912,0.653,0.1279,35.7105,75,20684,43283,18839,26668,21306,49328,13039,10559,15448,20130,6205,44808,4193,47983,13912,36074,2726,7494,26
16,0.9915,0.844,1.0,0.6558,0.1004,0.808,0.1124,0.8177,0.0,31.0789,75,13950,41509,11874,20828,14069,41579,9226,9092,11368,14901,1581,43468,1413,48635,11504,24668,0,5712,25
17,0.8933,0.7608,0.9916,0.5629,0.073,0.6964,0.1946,0.6701,0.1342,29.8158,75,16368,49164,13940,32915,18170,47469,10314,9209,12761,15207,3565,43199,1338,47744,12278,16074,2459,6757,30
18,0.9096,0.7597,0.9942,0.536,0.095,0.6617,0.2006,0.6355,0.1276,29.2895,75,16391,49100,13689,31766,17915,49333,9659,9127,11923,15006,3614,43175,1712,47758,11452,15847,2300,6376,30
