,apx,apx-na,knapsack,MR,GeRt,GLp,GSw,BIN,intersection,n_points,apx_reward,apx_cost,apx-na_reward,apx-na_cost,knapsack_reward,knapsack_cost,MR_reward,MR_cost,GLp_reward,GLp_cost,GSw_reward,GSw_cost,GeRt_reward,GeRt_cost,BIN_reward,BIN_cost,#BIN
0,1.0,1.0,1.0,0.8578,0.0,1.0,0.0315,0.9946,20.7632,75,921,4051,921,3336,921,4051,790,4825,921,4051,29,4511,0,4892,916,4651,21
1,1.0,1.0,1.0,0.845,0.0,1.0,0.0583,1.0,24.1316,75,1252,4552,1252,4392,1252,4552,1058,4635,1252,4552,73,4515,0,4942,1252,4392,19
2,1.0,1.0,1.0,0.8534,0.0,1.0,0.0219,0.7548,18.9474,75,730,4222,730,3510,730,4222,623,4954,730,4222,16,4503,0,4873,551,4978,23
3,1.0,1.0,1.0,0.8735,0.0,1.0,0.0,1.0,12.0789,75,324,4595,324,3887,324,4595,283,3275,324,4595,0,4486,0,4975,324,4595,3
4,1.0,1.0,1.0,0.8947,0.0,0.8947,0.0,0.8947,1.4474,75,38,4978,38,4265,38,4400,34,4894,34,4894,0,4509,0,4607,34,4736,34
5,1.0,1.0,1.0,0.8448,0.0,1.0,0.0,1.0,12.0789,75,335,4584,335,3876,335,4584,283,3275,335,4584,0,4486,0,4974,335,4584,3
6,1.0,1.0,1.0,0.8321,0.0,1.0,0.0,1.0,10.2632,75,137,4776,137,4069,137,4776,114,3432,137,4776,0,4481,0,4969,137,4776,3
7,1.0,1.0,1.0,0.6948,0.0,1.0,0.1327,1.0,6.9474,75,829,4934,829,3201,829,4953,576,4875,829,4934,110,4514,0,4724,829,4527,26
8,1.0,1.0,1.0,0.8448,0.0,1.0,0.0,1.0,12.0789,75,335,4584,335,3876,335,4584,283,3275,335,4584,0,4486,0,4974,335,4584,3
9,0.9948,0.9326,1.0,0.5914,0.0,1.0,0.0693,0.9326,25.6842,75,2111,4622,1979,3858,2122,4987,1255,2543,2122,4987,147,4590,0,4927,1979,3858,16
10,1.0,0.999,1.0,0.7131,0.0,1.0,0.001,0.999,28.4211,75,2046,4915,2044,3793,2046,4915,1459,4429,2046,4915,2,4719,0,4917,2044,3793,15
11,1.0,0.7817,1.0,1.0,0.0709,1.0,0.0709,0.7817,27.2632,75,3216,4980,2514,3534,3216,4980,3216,4980,3216,4980,228,4664,228,4874,2514,3534,15
12,1.0,0.9462,1.0,0.7395,0.0,1.0,0.0538,0.9462,34.7368,75,2453,4650,2321,3637,2453,4650,1814,4196,2453,4650,132,4668,0,4998,2321,3637,13
13,0.9294,0.8685,1.0,0.6053,0.0,1.0,0.1574,0.8578,33.5789,75,3478,4996,3250,4195,3742,4982,2265,1851,3742,4982,589,4784,0,4512,3210,3113,12
14,0.9903,0.7093,1.0,0.9903,0.0138,1.0,0.0973,0.7093,32.6579,75,6016,4649,4309,2796,6075,4897,6016,4649,6075,4897,591,3874,84,4974,4309,2796,10
15,1.0,0.9545,1.0,0.6615,0.0,1.0,0.0966,0.9545,45.8158,75,5867,4942,5600,2021,5867,4909,3881,1080,5867,4942,567,4132,0,4954,5600,2021,7
16,1.0,0.9088,1.0,0.6232,0.0102,0.9876,0.0725,0.9088,36.5526,75,4594,4836,4175,2599,4594,4836,2863,1546,4537,4613,333,3898,47,4767,4175,2599,11
17,0.9851,0.8239,1.0,0.5798,0.0033,0.9745,0.1765,0.8239,36.9474,75,5303,4774,4435,2612,5383,4958,3121,1466,5246,4647,950,4993,18,4983,4435,4756,9
18,0.9094,0.8454,1.0,0.5811,0.0024,0.9747,0.1731,0.8257,36.6316,75,4607,4738,4283,3760,5066,4846,2944,1534,4938,4726,877,4933,12,4873,4183,2697,10
19,0.9221,0.8589,1.0,0.5924,0.0002,0.9898,0.1664,0.8426,35.6053,75,4072,4919,3793,3945,4416,4850,2616,1678,4371,4905,735,4850,1,4692,3721,2877,10
20,1.0,0.9543,1.0,0.6596,0.0,1.0,0.0969,0.9543,46.7368,75,5976,4927,5703,1986,5976,4894,3942,1063,5976,4927,579,4161,0,4996,5703,1986,7
21,1.0,0.9516,1.0,0.6357,0.0484,1.0,0.1926,0.9516,48.8684,75,8410,4120,8003,1501,8410,4993,5346,840,8410,4120,1620,3438,407,4928,8003,3369,7
22,1.0,0.8555,1.0,0.5547,0.053,1.0,0.7014,0.8555,48.3158,75,8951,4200,7658,1241,8951,4200,4965,827,8951,4200,6278,4235,474,4961,7658,1241,7
