seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
144,200,100,2,10,1,2500,5,0.05,0.5,2,1,33,150,0,1,0.5,0.05,1,178.061,18.3541,2488.52,9.90303,5.69697,0.847791,6057.48,13.75,4.42626,0.359953,439.845,38.2053,4.42626,0.359953,14.1378,0.0578797
21,100,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,0,126.939,6.06702,2437.04,38.6572,6.66667,1.56125,1517.64,5.48578,2.35329,0.70055,385.081,103.03,2.35329,0.70055,0.0,0.0
163,250,100,4,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,1.0,0.05,1,96.303,9.34239,2410.82,71.7587,3.75758,1.53093,3999.09,16.2721,3.82576,0.999428,693.929,159.842,3.82576,0.999428,6.78429,0.035915
65,250,100,2,10,1,2500,5,0.05,0.5,2,1,33,150,0,1,1.0,0.05,0,139.788,4.12127,2494.27,6.92492,6.48485,0.968246,3955.42,8.21203,2.44062,0.360253,391.107,52.54,2.44062,0.360253,7.70177,0.0256724
81,300,100,2,10,1,2500,5,0.05,0.5,6,1,33,150,0,1,1.0,0.05,0,137.545,4.41652,2424.62,42.6989,8.06061,1.1726,4768.03,9.38916,1.91106,0.282993,306.549,42.0817,1.91106,0.282993,0.0,0.0
229,150,100,2,10,1,2500,10,0.05,0.5,2,1,33,150,0,1,1.0,0.05,2,70.6061,19.7641,2479.82,21.6383,3.24242,0.661438,2328.88,6.74305,4.98889,1.00178,791.286,152.046,4.98889,1.00178,7.64362,0.0308009
1,50,100,2,10,1,2500,5,0.05,0.5,2,1,33,150,0,1,1.0,0.05,0,119.636,7.31786,2489.09,10.9583,5.30303,0.901388,702.333,3.38655,2.87958,0.535358,481.644,80.4637,2.87958,0.535358,7.31107,0.0490898
159,200,100,4,10,1,5000,10,0.05,0.5,2,1,33,150,0,1,1.0,0.05,1,218.121,25.1418,4981.12,20.194,5.39394,0.847791,6151.03,11.3619,5.84149,0.889384,942.372,142.749,5.84149,0.889384,14.3801,0.0540047
56,200,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,0,374.636,12.9103,4939.77,44.8638,12.4545,0.883883,11184.8,13.1446,3.92653,0.302644,397.947,22.9224,3.92653,0.302644,0.0,0.0
183,300,100,4,10,1,2500,10,0.05,0.5,3,1,33,150,0,1,1.0,0.05,1,109.455,9.22324,2400.32,92.7601,2.54545,1.14564,4821.91,14.1885,6.17424,1.62958,1026.56,242.156,6.17424,1.62958,6.78858,0.0305477
165,250,100,2,10,1,2500,10,0.05,0.5,2,1,33,150,0,1,1.0,0.05,1,128.03,10.0948,2481.15,20.951,3.33333,0.883883,3958.21,10.4208,5.08283,1.40393,793.676,216.973,5.08283,1.40393,7.69768,0.0242856
37,150,100,2,10,1,2500,10,0.05,0.5,3,1,33,150,0,1,1.0,0.05,0,115.879,4.99848,2441.15,59.0759,5.42424,2.48747,2328.52,6.45417,3.45808,2.04756,568.567,303.991,3.45808,2.04756,7.64039,0.0274027
134,150,100,4,10,1,2500,10,0.05,0.5,3,1,33,150,0,1,0.5,0.05,1,145.121,21.2408,2374.15,87.547,3.21212,0.586302,4536.21,16.2009,7.61566,1.18102,757.88,123.844,7.61566,1.18102,12.2448,0.0832576
207,50,100,4,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,2,67.0606,21.7729,4882.56,80.6237,7.63636,1.64886,1197.85,9.78839,3.93261,1.04596,666.353,144.091,3.93261,1.04596,0.0,0.0
140,150,100,2,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,289.455,36.2009,4939.01,47.89,9.75758,1.13192,7895.7,12.2996,5.46048,0.561148,509.541,41.4582,5.46048,0.561148,0.0,0.0
277,300,100,2,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,2,87.3939,18.2088,2443.23,43.649,5.48485,1.19896,4768.91,10.7732,2.86432,0.647918,463.764,98.3406,2.86432,0.647918,0.0,0.0
46,150,100,4,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,0,368.697,18.0338,4921.41,53.8568,7.87879,1.26244,8098.45,23.9811,6.84444,0.851926,631.919,67.0898,6.84444,0.851926,0.0,0.0
35,150,100,4,10,1,2500,5,0.05,0.5,2,1,33,150,0,1,1.0,0.05,0,123.273,6.06874,2484.39,18.9307,4.72727,1.11803,2362.03,9.56393,3.2816,0.621177,542.942,105.114,3.2816,0.621177,6.72436,0.0439112
279,300,100,4,10,1,2500,10,0.05,0.5,6,1,33,150,0,1,1.0,0.05,2,81.6061,16.677,2444.06,45.4836,4.66667,1.14564,4824.09,13.9721,3.25354,0.757403,544.543,112.3,3.25354,0.757403,0.0,0.0
168,250,100,2,10,1,5000,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,1,251.818,29.306,4917.35,69.2358,10.4545,2.36511,14477.0,17.6352,4.03362,0.728001,487.024,80.8138,4.03362,0.728001,29.4535,0.0472398
190,300,100,4,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,348.121,28.6135,4944.63,50.4434,8.48485,0.935414,18012.7,33.0369,6.30388,0.70251,587.736,55.4903,6.30388,0.70251,0.0,0.0
248,200,100,2,10,1,5000,5,0.05,0.5,2,1,33,150,0,1,0.5,0.05,2,181.515,28.8943,4992.61,7.3652,11.4545,0.810093,11183.9,11.5515,4.22659,0.297161,437.313,25.8139,4.22659,0.297161,28.9912,0.0505972
269,250,100,2,10,1,5000,10,0.05,0.5,3,1,33,150,0,1,1.0,0.05,2,130.242,24.7425,4878.23,112.437,4.87879,1.64886,7731.85,10.6478,6.55758,1.6029,1066.78,255.833,6.55758,1.6029,15.6533,0.0307317
218,100,100,4,10,1,5000,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,2,85.1515,20.8223,4780.1,209.723,7.30303,2.19374,4788.33,19.5808,4.06958,0.990141,697.202,155.458,4.06958,0.990141,24.0889,0.17543
190,300,100,4,10,1,5000,10,0.05,0.5,3,1,33,150,0,1,0.5,0.05,1,270.788,27.3253,4870.53,127.233,5.57576,0.984251,18012.7,33.0369,8.34214,0.932171,888.953,115.643,8.34214,0.932171,27.4862,0.0747721
124,100,100,2,10,1,5000,10,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,251.455,43.4332,4942.9,45.2991,10.4242,1.25,4606.82,9.50164,5.02857,0.703753,479.729,51.3076,5.02857,0.703753,0.0,0.0
240,200,100,2,10,1,2500,5,0.05,0.5,2,1,33,150,0,1,0.5,0.05,2,111.818,26.4155,2483.18,15.95,5.48485,0.707107,6058.52,10.8901,4.47273,0.390019,456.479,41.8285,4.47273,0.390019,14.1327,0.0598322
36,150,100,2,10,1,2500,10,0.05,0.5,2,1,33,150,0,1,0.5,0.05,0,207.152,9.93768,2487.67,13.5662,4.0303,0.395285,4432.52,10.3002,6.97475,0.787104,623.2,64.8295,6.97475,0.787104,13.9852,0.0647884
225,150,100,2,10,1,2500,5,0.05,0.5,3,1,33,150,0,1,1.0,0.05,2,65.697,15.3795,2398.52,87.1546,4.66667,1.87083,2331.18,7.54569,3.29058,1.11306,574.113,171.662,3.29058,1.11306,7.64706,0.026974
257,250,100,2,10,1,2500,5,0.05,0.5,6,1,33,150,0,1,1.0,0.05,2,82.4848,17.0955,2432.59,52.9132,5.93939,1.21192,3956.12,10.6624,2.51104,0.359379,416.064,54.5289,2.51104,0.359379,0.0,0.0
153,200,100,2,10,1,5000,5,0.05,0.5,6,1,33,150,0,1,1.0,0.05,1,207.606,21.3862,4921.16,48.5298,10.8485,1.5411,6087.03,7.02451,2.81986,0.341017,459.606,52.9259,2.81986,0.341017,0.0,0.0
8,50,100,2,10,1,5000,5,0.05,0.5,3,1,33,150,0,1,0.5,0.05,0,185.061,14.8027,4540.9,572.243,11.8182,4.05046,1393.61,7.3697,2.77604,1.21267,424.241,125.644,2.77604,1.21267,16.1251,0.0627878
224,150,100,2,10,1,2500,5,0.05,0.5,2,1,33,150,0,1,0.5,0.05,2,101.212,23.0512,2481.45,18.0158,5.72727,0.935414,4434.27,8.86884,4.23449,0.48998,437.477,43.5833,4.23449,0.48998,13.972,0.0531251
96,50,100,2,10,1,2500,5,0.05,0.5,6,1,33,150,0,1,0.5,0.05,1,114.515,19.7296,2431.98,51.5213,6.18182,0.707107,1186.33,8.25189,3.82857,0.545646,398.038,44.7615,3.82857,0.545646,0.0,0.0
