seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
203,10,100,8,10,5,5000,10,0.05,0.5,3,1,33,150,0,0,1,0,2,13.7273,4.00993,4430.04,396.434,4.57576,1.70477,0.0,0.0,36.7576,4.59279
207,20,100,8,10,5,5000,10,0.05,0.5,3,1,33,150,0,0,1,0,2,21.0,5.3033,4584.24,279.567,4.75758,1.51038,0.0,0.0,128.667,9.69536
211,30,100,8,10,5,5000,10,0.05,0.5,3,1,33,150,0,0,1,0,2,25.8788,3.97459,4630.74,212.57,5.0,1.43614,9.09091e-05,0.000291937,283.848,17.0697
215,40,100,8,10,5,5000,10,0.05,0.5,3,1,33,150,0,0,1,0,2,34.4848,6.8288,4648.33,371.779,5.30303,1.87083,0.000727273,0.000719059,496.848,30.0406
219,50,100,8,10,5,5000,10,0.05,0.5,3,1,33,150,0,0,1,0,2,37.7879,7.07883,4745.23,193.193,6.09091,1.42522,0.00124242,0.000708445,767.273,47.1769
223,60,100,8,10,5,5000,10,0.05,0.5,3,1,33,150,0,0,1,0,2,41.0303,5.79054,4755.13,237.093,5.87879,1.79409,0.00245455,0.000971175,1119.55,71.8775
227,70,100,8,10,5,5000,10,0.05,0.5,3,1,33,150,0,0,1,0,2,43.6667,8.21077,4803.03,146.388,6.30303,1.78536,0.00363636,0.00116775,1482.18,51.2659
231,80,100,8,10,5,5000,10,0.05,0.5,3,1,33,150,0,0,1,0,2,49.303,9.81225,4790.54,219.005,6.63636,1.91213,0.00566667,0.00136168,1954.64,105.57
235,90,100,8,10,5,5000,10,0.05,0.5,3,1,33,150,0,0,1,0,2,50.3333,7.84485,4807.01,160.015,6.36364,1.92029,0.00787879,0.00143086,2429.24,73.8939
239,100,100,8,10,5,5000,10,0.05,0.5,3,1,33,150,0,0,1,0,2,54.0,8.65303,4740.55,168.003,6.45455,2.46855,0.0108485,0.00201744,3006.09,81.4737
