seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
3,50,100,4,10,5,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,338.576,63.3756,0.0,0.0,0.0,0.0,0.0,0.0,4.23542,0.284656
19,100,100,4,10,5,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,667.848,83.7552,0.0,0.0,0.0,0.0,0.0,0.0,4.46651,0.131345
35,150,100,4,10,5,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,1029.48,77.0775,0.0,0.0,0.0,0.0,0.0,0.0,4.49004,0.168128
51,200,100,4,10,5,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,1357.7,103.293,0.0,0.0,0.0,0.0,0.0,0.0,4.54048,0.124254
67,250,100,4,10,5,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,1734.03,136.728,0.0,0.0,0.0,0.0,0.0,0.0,4.51494,0.110217
83,300,100,4,10,5,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,2116.67,140.846,0.0,0.0,0.0,0.0,0.0,0.0,4.56855,0.076975
99,350,100,4,10,5,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,2451.79,152.86,0.0,0.0,0.0,0.0,0.0,0.0,4.5388,0.0884884
115,400,100,4,10,5,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,2891.06,181.317,0.0,0.0,0.0,0.0,0.0,0.0,4.55212,0.0717899
131,450,100,4,10,5,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,3183.24,190.48,0.0,0.0,0.0,0.0,0.0,0.0,4.55127,0.0779205
147,500,100,4,10,5,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,3552.91,223.387,0.0,0.0,0.0,0.0,0.0,0.0,4.55873,0.0690703
