seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
3,10,100,8,10,5,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,46.0606,7.71743,4809.57,163.117,5.09091,0.883883,0.0236061,0.0155623,35.7273,4.91808
7,20,100,8,10,5,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,79.9091,9.46165,4890.96,91.7974,6.15152,1.18585,0.0701515,0.0382035,128.485,8.82822
11,30,100,8,10,5,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,106.212,14.0017,4916.25,65.176,7.09091,0.883883,0.13897,0.0576002,291.394,22.3572
15,40,100,8,10,5,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,120.545,15.8609,4930.61,66.4222,7.63636,1.40312,0.367061,0.105051,494.424,34.1339
19,50,100,8,10,5,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,141.0,13.9239,4959.19,36.9517,8.21212,1.1592,0.830848,0.174097,776.485,41.2227
23,60,100,8,10,5,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,155.394,16.0116,4969.28,22.2357,9.0,1.14564,1.52973,0.286965,1082.76,41.7541
27,70,100,8,10,5,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,166.03,14.6682,4964.15,31.9235,9.09091,0.984251,3.37461,0.751546,1499.76,71.7946
31,80,100,8,10,5,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,191.848,19.2616,4969.98,27.2731,9.69697,1.28695,5.86279,0.847417,1938.03,73.6794
35,90,100,8,10,5,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,200.0,17.4284,4968.92,33.3909,9.9697,1.45774,9.74897,1.77498,2474.88,106.343
39,100,100,8,10,5,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,0,205.848,17.5964,4977.53,19.2927,10.4242,1.58114,14.0834,1.68768,3010.64,92.9464
