seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
0,10,100,8,10,5,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,26.6061,6.08759,2310.39,105.714,3.15152,0.770552,0.0470909,0.0790247,15.1515,3.0052
4,20,100,8,10,5,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,40.0303,8.88638,2377.65,95.8334,3.63636,1.07529,0.0307576,0.021344,45.0909,12.6602
8,30,100,8,10,5,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,47.9091,8.24001,2402.67,92.0731,4.18182,0.866025,0.0579394,0.0386935,79.9091,14.7542
12,40,100,8,10,5,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,57.4848,8.6967,2422.34,66.5903,4.54545,1.14564,0.0620909,0.0283883,136.0,16.5492
16,50,100,8,10,5,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,65.1212,10.2371,2442.6,51.3012,5.0,0.935414,0.0779091,0.0404346,201.515,35.7854
20,60,100,8,10,5,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,70.3939,12.2498,2447.5,49.8035,5.24242,0.866025,0.115909,0.0536251,273.939,40.8614
24,70,100,8,10,5,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,76.0606,11.0225,2452.13,45.742,5.60606,1.03078,0.160455,0.0590556,355.091,58.8921
28,80,100,8,10,5,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,80.0303,13.3498,2460.28,34.8594,5.60606,1.11803,0.245788,0.070468,469.879,67.795
32,90,100,8,10,5,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,89.0,9.86788,2464.15,40.2601,6.09091,0.637377,0.298545,0.0827406,555.333,80.8851
36,100,100,8,10,5,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,91.2424,10.8341,2469.27,28.4439,6.24242,0.829156,0.425667,0.148869,690.182,103.305
