seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
0,10,100,8,10,5,2500,5,0.05,0.5,2,4,33,150,30,0,1,0,0,25.0303,6.1972,2356.52,167.677,2.78788,1.08972,0.00257576,0.00150063,15.1212,3.50892
4,20,100,8,10,5,2500,5,0.05,0.5,2,4,33,150,30,0,1,0,0,35.9394,7.88566,2331.09,138.572,3.21212,0.770552,0.00769697,0.00345945,46.0,15.7778
8,30,100,8,10,5,2500,5,0.05,0.5,2,4,33,150,30,0,1,0,0,42.5152,6.76443,2394.79,104.151,3.72727,0.968246,0.0132727,0.00359055,82.2424,17.4803
12,40,100,8,10,5,2500,5,0.05,0.5,2,4,33,150,30,0,1,0,0,49.9697,7.41824,2427.27,61.0421,3.93939,1.31101,0.0234848,0.00539167,143.061,20.4817
16,50,100,8,10,5,2500,5,0.05,0.5,2,4,33,150,30,0,1,0,0,55.3333,8.25631,2440.15,64.9981,4.06061,0.75,0.0364545,0.00983327,220.576,48.7484
20,60,100,8,10,5,2500,5,0.05,0.5,2,4,33,150,30,0,1,0,0,59.3636,9.43669,2442.39,58.3711,4.30303,0.75,0.0512121,0.0102584,307.909,61.8451
24,70,100,8,10,5,2500,5,0.05,0.5,2,4,33,150,30,0,1,0,0,63.2121,8.92594,2453.45,53.3222,4.63636,1.0155,0.0685455,0.0159395,402.091,82.2783
28,80,100,8,10,5,2500,5,0.05,0.5,2,4,33,150,30,0,1,0,0,65.6061,9.86135,2457.03,38.6697,4.48485,0.901388,0.093303,0.0169364,543.242,94.4649
32,90,100,8,10,5,2500,5,0.05,0.5,2,4,33,150,30,0,1,0,0,72.4242,7.81037,2458.64,34.1896,4.75758,0.951972,0.111182,0.0245375,645.788,121.545
36,100,100,8,10,5,2500,5,0.05,0.5,2,4,33,150,30,0,1,0,0,73.3939,7.8698,2469.42,27.2386,5.0303,0.684653,0.141364,0.0350293,816.273,164.124
