seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
327,50,100,4,10,5,2500,10,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,1479.15,153.276,0.0,0.0,0.0,0.0,0.0,0.0,4.61901,0.165915
343,100,100,4,10,5,2500,10,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,3121.27,166.577,0.0,0.0,0.0,0.0,0.0,0.0,4.73681,0.118591
359,150,100,4,10,5,2500,10,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,4815.82,211.187,0.0,0.0,0.0,0.0,0.0,0.0,4.76204,0.096653
375,200,100,4,10,5,2500,10,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,6616.97,287.89,0.0,0.0,0.0,0.0,0.0,0.0,4.74313,0.0904342
391,250,100,4,10,5,2500,10,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,8356.36,285.93,0.0,0.0,0.0,0.0,0.0,0.0,4.74102,0.0811914
407,300,100,4,10,5,2500,10,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,10014.4,354.667,0.0,0.0,0.0,0.0,0.0,0.0,4.75929,0.0631908
423,350,100,4,10,5,2500,10,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,11614.7,322.317,0.0,0.0,0.0,0.0,0.0,0.0,4.77341,0.0660884
439,400,100,4,10,5,2500,10,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,13413.3,356.388,0.0,0.0,0.0,0.0,0.0,0.0,4.76302,0.0510689
455,450,100,4,10,5,2500,10,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,15062.8,364.521,0.0,0.0,0.0,0.0,0.0,0.0,4.771,0.0533472
471,500,100,4,10,5,2500,10,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,16746.5,471.807,0.0,0.0,0.0,0.0,0.0,0.0,4.7761,0.0548203
