seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
301,50,100,2,10,5,5000,10,0.05,0.5,9,4,33,150,30,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,3481.97,377.452,0.0,0.0,0.0,0.0,0.0,0.0,15.6837,0.171157
317,100,100,2,10,5,5000,10,0.05,0.5,9,4,33,150,30,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,8692.18,772.367,0.0,0.0,0.0,0.0,0.0,0.0,16.9487,0.135464
333,150,100,2,10,5,5000,10,0.05,0.5,9,4,33,150,30,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,13995.2,950.647,0.0,0.0,0.0,0.0,0.0,0.0,17.2298,0.0772362
349,200,100,2,10,5,5000,10,0.05,0.5,9,4,33,150,30,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,18902.1,883.317,0.0,0.0,0.0,0.0,0.0,0.0,17.348,0.103451
365,250,100,2,10,5,5000,10,0.05,0.5,9,4,33,150,30,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,24826.5,976.728,0.0,0.0,0.0,0.0,0.0,0.0,17.4474,0.0669975
381,300,100,2,10,5,5000,10,0.05,0.5,9,4,33,150,30,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,29724.7,1391.24,0.0,0.0,0.0,0.0,0.0,0.0,17.4806,0.0589001
589,350,100,2,10,5,5000,10,0.05,0.5,9,4,33,150,30,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,34284.6,1205.94,0.0,0.0,0.0,0.0,0.0,0.0,17.4834,0.0589576
605,400,100,2,10,5,5000,10,0.05,0.5,9,4,33,150,30,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,39726.4,1494.68,0.0,0.0,0.0,0.0,0.0,0.0,17.5144,0.0522693
621,450,100,2,10,5,5000,10,0.05,0.5,9,4,33,150,30,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,44388.0,1664.36,0.0,0.0,0.0,0.0,0.0,0.0,17.5286,0.0570266
637,500,100,2,10,5,5000,10,0.05,0.5,9,4,33,150,30,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,50686.3,1662.69,0.0,0.0,0.0,0.0,0.0,0.0,17.5651,0.049389
