seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
3,10,100,8,10,5,5000,10,0.05,0.5,0,4,33,150,30,0,1,0,0,43.5152,6.95126,4718.1,231.476,4.60606,1.06066,0.0318182,0.0203277,47.5758,10.135
7,20,100,8,10,5,5000,10,0.05,0.5,0,4,33,150,30,0,1,0,0,73.1212,8.66659,4867.13,101.508,5.57576,1.07529,0.110606,0.0539032,208.485,29.0915
11,30,100,8,10,5,5000,10,0.05,0.5,0,4,33,150,30,0,1,0,0,95.5455,12.3088,4911.43,67.8753,6.21212,0.918559,0.525788,0.197366,539.909,89.3746
15,40,100,8,10,5,5000,10,0.05,0.5,0,4,33,150,30,0,1,0,0,105.333,13.7946,4946.19,61.4376,6.45455,1.13192,1.62261,0.615427,988.606,108.235
19,50,100,8,10,5,5000,10,0.05,0.5,0,4,33,150,30,0,1,0,0,120.0,11.0538,4954.41,47.2924,7.0,1.0,5.82785,1.73244,1727.0,179.747
23,60,100,8,10,5,5000,10,0.05,0.5,0,4,33,150,30,0,1,0,0,130.303,13.7397,4956.94,43.0342,7.24242,1.03078,11.5594,3.15751,2502.45,245.441
27,70,100,8,10,5,5000,10,0.05,0.5,0,4,33,150,30,0,1,0,0,136.424,10.9203,4961.18,36.2262,7.39394,0.984251,25.5572,7.77582,3604.79,389.016
31,80,100,8,10,5,5000,10,0.05,0.5,0,4,33,150,30,0,1,0,0,154.697,14.6469,4967.36,25.6399,7.72727,1.08972,45.7822,14.8353,4790.21,496.627
35,90,100,8,10,5,5000,10,0.05,0.5,0,4,33,150,30,0,1,0,0,159.182,12.6131,4963.17,35.3516,7.66667,1.1726,88.4281,24.3582,6443.3,527.371
39,100,100,8,10,5,5000,10,0.05,0.5,0,4,33,150,30,0,1,0,0,162.515,12.6197,4970.16,23.1342,7.90909,1.36931,143.824,68.1292,7885.7,854.97
