seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
2,10,100,8,10,5,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,42.9697,10.7019,4667.58,295.756,4.93939,1.23744,0.0237879,0.0138806,23.7576,11.1817
6,20,100,8,10,5,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,58.6061,9.2498,4832.92,151.727,5.60606,1.08972,0.0494545,0.0319815,68.697,27.9994
10,30,100,8,10,5,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,75.8182,10.1164,4890.18,68.0014,6.36364,0.866025,0.0937879,0.036587,167.091,29.964
14,40,100,8,10,5,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,85.3939,10.8482,4929.24,91.52,6.75758,1.10397,0.184,0.0844811,292.939,76.2055
18,50,100,8,10,5,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,93.8788,11.8816,4923.76,57.7687,7.0303,0.883883,0.392061,0.171637,473.909,102.591
22,60,100,8,10,5,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,102.091,11.323,4929.48,55.2268,7.48485,1.14564,0.710333,0.269198,678.0,129.125
26,70,100,8,10,5,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,107.394,12.6044,4943.39,55.7359,7.51515,1.13192,1.29839,0.54141,937.727,141.711
30,80,100,8,10,5,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,118.0,10.5682,4945.17,42.9522,7.93939,1.35785,2.33136,1.10051,1182.82,223.977
34,90,100,8,10,5,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,121.97,9.59324,4959.47,33.6941,8.30303,0.901388,4.20109,2.28017,1547.52,296.73
38,100,100,8,10,5,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,128.455,11.5599,4964.71,36.0546,8.60606,1.22474,6.83639,3.18504,1935.18,349.592
