seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std
1,10,100,4,10,1,2500,10,0.05,0.5,0,1,33,150,0,1,1,0,0,58.6667,9.28597,2095.85,343.956,2.60606,1.43614,0.045,0.0234747,75.6364,3.60988,5.34545,3.22893,1014.08,459.142,5.34545,3.22893
5,20,100,4,10,1,2500,10,0.05,0.5,0,1,33,150,0,1,1,0,0,91.6061,8.82801,2460.54,32.2332,2.51515,0.810093,0.161333,0.0431955,234.636,4.95921,6.11869,1.4113,1031.2,225.734,6.11869,1.4113
9,30,100,4,10,1,2500,10,0.05,0.5,0,1,33,150,0,1,1,0,0,102.091,9.61562,2472.56,29.579,3.18182,0.901388,0.337545,0.0544191,397.182,7.64035,5.05051,1.59344,841.753,249.999,5.05051,1.59344
13,40,100,4,10,1,2500,10,0.05,0.5,0,1,33,150,0,1,1,0,0,107.0,8.97566,2473.09,26.8282,3.24242,0.75,0.584182,0.0748045,561.636,7.04228,4.91212,1.32425,802.079,195.138,4.91212,1.32425
17,50,100,4,10,1,2500,10,0.05,0.5,0,1,33,150,0,1,1,0,0,108.333,7.80892,2469.43,18.2344,3.48485,1.03078,0.76603,0.098594,724.485,8.27647,4.57778,1.18542,751.982,183.103,4.57778,1.18542
21,60,100,4,10,1,2500,10,0.05,0.5,0,1,33,150,0,1,1,0,0,112.727,9.59255,2475.31,25.799,3.75758,1.28695,0.947697,0.105391,887.97,8.8176,4.26342,1.10311,701.678,171.673,4.26342,1.10311
25,70,100,4,10,1,2500,10,0.05,0.5,0,1,33,150,0,1,1,0,0,113.636,6.9544,2471.91,25.6445,3.84848,1.34629,1.15324,0.126249,1052.39,8.77318,4.20253,1.39263,695.416,217.727,4.20253,1.39263
29,80,100,4,10,1,2500,10,0.05,0.5,0,1,33,150,0,1,1,0,0,117.03,6.38595,2476.25,22.2169,3.93939,1.33463,1.33861,0.110739,1213.73,7.95299,4.12222,1.24741,670.534,193.948,4.12222,1.24741
33,90,100,4,10,1,2500,10,0.05,0.5,0,1,33,150,0,1,1,0,0,116.879,6.67438,2474.78,25.091,4.09091,1.07529,1.56812,0.145132,1378.52,8.93553,3.96869,1.28583,652.387,200.109,3.96869,1.28583
37,100,100,4,10,1,2500,10,0.05,0.5,0,1,33,150,0,1,1,0,0,120.273,6.25636,2482.3,15.0425,4.36364,1.08972,1.83318,0.151959,1547.3,10.8599,3.70584,1.12662,604.558,168.304,3.70584,1.12662
