seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std
3,10,100,4,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,66.1212,12.2774,3667.37,753.987,4.84848,1.45774,0.0337273,0.0190891,75.1818,3.17214,2.48636,1.42703,788.76,192.107,2.48636,1.42703
7,20,100,4,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,128.606,10.8367,4833.01,212.351,6.30303,1.22474,0.194152,0.0520235,254.697,5.45722,3.33454,0.672565,790.236,135.782,3.33454,0.672565
11,30,100,4,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,166.364,15.223,4911.05,79.0605,5.45455,1.04583,0.787545,0.099751,534.333,5.7364,5.18341,0.92193,923.986,145.147,5.18341,0.92193
15,40,100,4,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,185.909,16.9325,4959.21,38.3149,4.69697,1.18585,1.99282,0.130431,868.152,9.29213,6.61035,1.16276,1090.68,181.723,6.61035,1.16276
19,50,100,4,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,200.03,13.8665,4976.39,20.2644,5.15152,0.728869,3.8047,0.264495,1197.36,6.8374,6.02071,0.875238,985.21,144.726,6.02071,0.875238
23,60,100,4,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,207.848,13.4539,4981.11,17.4379,5.90909,1.27475,5.60661,0.249498,1528.73,9.63068,5.26706,0.892179,860.922,127.355,5.26706,0.892179
27,70,100,4,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,211.303,12.4184,4978.35,18.3851,5.87879,1.35785,7.34,0.207719,1859.91,10.4851,5.32482,1.11524,874.673,169.651,5.32482,1.11524
31,80,100,4,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,220.424,11.8718,4982.0,14.5109,6.24242,1.19896,9.01133,0.263012,2189.39,11.4523,5.04089,0.981209,825.416,154.005,5.04089,0.981209
35,90,100,4,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,222.364,10.0804,4984.38,12.4163,6.0303,1.07529,11.064,0.305575,2520.36,11.718,5.27861,1.14859,856.793,178.401,5.27861,1.14859
39,100,100,4,10,1,5000,10,0.05,0.5,0,1,33,150,0,1,1.0,0,0,229.152,9.46745,4981.12,14.4154,6.81818,1.59099,12.58,0.295585,2849.88,8.85473,4.65192,0.999189,758.663,148.678,4.65192,0.999189
