seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
43,10,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,1,31.303,9.05015,4701.44,208.788,4.54545,1.14564,0.0343939,0.0260743,35.8485,4.09268
47,20,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,1,55.9091,10.9526,4911.38,86.5831,5.60606,1.27475,0.0664848,0.0406587,131.061,12.7989
51,30,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,1,74.1212,12.6238,4913.92,84.3197,6.21212,1.21192,0.140576,0.0466671,286.818,18.4111
55,40,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,1,94.3939,11.222,4909.15,76.1301,5.84848,1.47902,0.395091,0.10241,503.455,34.7549
59,50,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,1,101.121,14.7537,4941.63,56.5669,6.12121,1.43614,0.729636,0.135114,756.182,29.8412
63,60,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,1,117.939,13.917,4951.88,46.5897,6.75758,1.61051,1.666,0.32494,1097.39,47.6442
67,70,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,1,135.788,16.3148,4961.88,30.1274,6.81818,1.70477,3.36848,0.658729,1496.06,62.7834
71,80,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,1,149.152,17.2647,4965.73,38.8019,6.66667,1.58114,6.19636,1.07042,1963.18,81.0602
75,90,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,1,167.576,17.5268,4967.89,25.023,6.87879,1.6298,9.1353,1.11712,2426.09,67.9262
79,100,100,8,10,1,5000,10,0.05,0.5,0,1,33,150,0,0,1,0,1,174.818,17.7508,4965.94,35.8526,7.54545,1.5,13.8566,1.53595,3009.06,79.021
