seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std
2,10,100,4,10,1,5000,5,0.05,0.5,0,1,33,150,0,1,1,0,0,66.697,13.7534,3437.0,1037.79,4.54545,1.29904,0.0379394,0.0244437,75.6061,3.44601,2.44769,0.583643
6,20,100,4,10,1,5000,5,0.05,0.5,0,1,33,150,0,1,1,0,0,120.818,15.3164,4853.41,161.495,7.09091,0.684653,0.188303,0.0488048,256.515,4.53803,2.66234,0.242597
10,30,100,4,10,1,5000,5,0.05,0.5,0,1,33,150,0,1,1,0,0,159.303,14.1211,4929.59,70.2785,7.81818,1.21192,0.71397,0.0725567,534.182,6.04669,3.21758,0.360699
14,40,100,4,10,1,5000,5,0.05,0.5,0,1,33,150,0,1,1,0,0,181.333,12.6285,4957.09,34.3764,7.66667,1.06066,1.95764,0.175624,868.636,7.83621,3.57071,0.334567
18,50,100,4,10,1,5000,5,0.05,0.5,0,1,33,150,0,1,1,0,0,190.273,11.3476,4978.99,20.8988,7.93939,1.38067,3.74418,0.316178,1197.52,8.40573,3.58357,0.462097
22,60,100,4,10,1,5000,5,0.05,0.5,0,1,33,150,0,1,1,0,0,198.818,11.8201,4980.62,16.8714,7.84848,1.43614,5.59503,0.258599,1529.09,8.86531,3.71586,0.51719
26,70,100,4,10,1,5000,5,0.05,0.5,0,1,33,150,0,1,1,0,0,205.424,11.9792,4968.31,22.7732,8.09091,0.883883,7.36039,0.164148,1859.55,10.2865,3.54529,0.407051
30,80,100,4,10,1,5000,5,0.05,0.5,0,1,33,150,0,1,1,0,0,212.333,10.9962,4974.18,26.3696,8.21212,0.951972,9.00073,0.230034,2186.79,11.3908,3.57909,0.419556
34,90,100,4,10,1,5000,5,0.05,0.5,0,1,33,150,0,1,1,0,0,215.606,10.9998,4983.72,13.0449,8.72727,1.22474,10.8671,0.215049,2514.97,10.9402,3.40235,0.370084
38,100,100,4,10,1,5000,5,0.05,0.5,0,1,33,150,0,1,1,0,0,220.848,9.96908,4984.95,14.193,8.72727,1.29904,12.7079,0.331127,2847.36,9.62094,3.38436,0.421684
42,110,100,4,10,1,5000,5,0.05,0.5,0,1,33,150,0,1,1,0,0,223.485,11.7104,4984.72,13.2785,8.54545,1.29904,14.1709,0.356361,3175.7,12.3983,3.49237,0.466514
46,120,100,4,10,1,5000,5,0.05,0.5,0,1,33,150,0,1,1,0,0,222.485,11.9324,4984.52,11.4195,8.84848,1.45774,16.1991,0.288833,3508.7,12.1076,3.32723,0.440388
50,130,100,4,10,1,5000,5,0.05,0.5,0,1,33,150,0,1,1,0,0,228.758,10.721,4985.1,11.0362,9.0303,1.18585,17.9382,0.380908,3838.18,11.0595,3.32139,0.458057
54,140,100,4,10,1,5000,5,0.05,0.5,0,1,33,150,0,1,1,0,0,231.303,9.23473,4986.56,10.5185,9.09091,1.26244,20.2146,0.422324,4170.0,11.1243,3.32881,0.499054
