seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
167,50,100,4,10,1,2500,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,725.879,6.96644,0.0,0.0,0.0,0.0,0.0,0.0,3.80652,0.169599
183,100,100,4,10,1,2500,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,1544.45,8.87236,0.0,0.0,0.0,0.0,0.0,0.0,3.88977,0.151018
199,150,100,4,10,1,2500,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,2361.94,10.0514,0.0,0.0,0.0,0.0,0.0,0.0,3.97245,0.116172
215,200,100,4,10,1,2500,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,3182.0,13.9642,0.0,0.0,0.0,0.0,0.0,0.0,3.93552,0.0781521
231,250,100,4,10,1,2500,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,3999.03,12.421,0.0,0.0,0.0,0.0,0.0,0.0,3.96666,0.0701417
247,300,100,4,10,1,2500,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,4818.73,12.7107,0.0,0.0,0.0,0.0,0.0,0.0,3.96882,0.0697271
263,350,100,4,10,1,2500,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,5639.91,16.3076,0.0,0.0,0.0,0.0,0.0,0.0,3.97216,0.0654218
279,400,100,4,10,1,2500,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,6459.48,19.3681,0.0,0.0,0.0,0.0,0.0,0.0,3.95595,0.0569621
295,450,100,4,10,1,2500,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,7274.76,19.7935,0.0,0.0,0.0,0.0,0.0,0.0,3.97318,0.0537182
311,500,100,4,10,1,2500,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,8094.39,17.8877,0.0,0.0,0.0,0.0,0.0,0.0,3.98473,0.0724576
