seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
168,50,100,2,10,1,5000,5,0.05,0.5,9,1,33,150,0,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,1395.33,6.10584,0.0,0.0,0.0,0.0,0.0,0.0,9.89174,1.41024
184,100,100,2,10,1,5000,5,0.05,0.5,9,1,33,150,0,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,4604.06,11.5299,0.0,0.0,0.0,0.0,0.0,0.0,15.3034,2.08033
200,150,100,2,10,1,5000,5,0.05,0.5,9,1,33,150,0,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,7898.21,11.8572,0.0,0.0,0.0,0.0,0.0,0.0,15.6969,1.50343
216,200,100,2,10,1,5000,5,0.05,0.5,9,1,33,150,0,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,11187.4,12.1192,0.0,0.0,0.0,0.0,0.0,0.0,16.0701,1.4326
232,250,100,2,10,1,5000,5,0.05,0.5,9,1,33,150,0,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,14478.6,15.5393,0.0,0.0,0.0,0.0,0.0,0.0,16.2744,1.27299
248,300,100,2,10,1,5000,5,0.05,0.5,9,1,33,150,0,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,17759.2,16.8096,0.0,0.0,0.0,0.0,0.0,0.0,16.6512,0.807301
264,350,100,2,10,1,5000,5,0.05,0.5,9,1,33,150,0,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,21056.2,17.7526,0.0,0.0,0.0,0.0,0.0,0.0,16.6262,1.01165
280,400,100,2,10,1,5000,5,0.05,0.5,9,1,33,150,0,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,24350.8,18.5548,0.0,0.0,0.0,0.0,0.0,0.0,16.7087,1.2426
296,450,100,2,10,1,5000,5,0.05,0.5,9,1,33,150,0,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,27641.9,17.4508,0.0,0.0,0.0,0.0,0.0,0.0,16.4784,0.902843
312,500,100,2,10,1,5000,5,0.05,0.5,9,1,33,150,0,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,30929.1,19.8778,0.0,0.0,0.0,0.0,0.0,0.0,17.016,0.891178
