seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
0,10,100,8,10,1,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,31.6061,6.78666,2290.16,178.1,3.09091,0.883883,0.0540909,0.0847741,23.2727,3.91711
4,20,100,8,10,1,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,52.0,9.57862,2365.47,125.656,3.42424,0.935414,0.0393636,0.02756,79.6364,10.1873
8,30,100,8,10,1,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,65.0909,10.4264,2441.58,47.7272,4.12121,0.935414,0.0665758,0.0363533,160.03,12.1128
12,40,100,8,10,1,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,79.8788,12.5866,2448.32,55.3759,4.24242,1.06066,0.134061,0.0647572,284.758,21.4614
16,50,100,8,10,1,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,92.0606,13.4767,2442.35,56.4105,4.60606,1.27475,0.211606,0.0448434,428.727,31.9922
20,60,100,8,10,1,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,100.424,13.5992,2440.93,47.1777,4.72727,1.22474,0.362485,0.0850926,591.97,29.413
24,70,100,8,10,1,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,114.97,15.4586,2467.36,25.6331,4.93939,1.28695,0.547515,0.128097,800.303,41.016
28,80,100,8,10,1,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,119.788,15.807,2468.83,27.7585,5.09091,0.984251,0.870485,0.163755,1037.06,43.9161
32,90,100,8,10,1,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,132.485,13.1247,2467.99,30.7136,5.54545,0.935414,1.25897,0.165923,1291.03,39.3696
36,100,100,8,10,1,2500,5,0.05,0.5,0,1,33,150,0,0,1,0,0,139.364,14.4261,2476.0,22.2207,5.57576,0.847791,2.17724,0.372729,1602.36,63.891
