seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
241,10,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,29.9697,5.77432,2280.09,178.177,2.63636,0.918559,0.0239394,0.0166169,23.9697,4.7697
245,20,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,45.0303,7.00216,2402.32,96.808,3.09091,0.810093,0.0651515,0.0390361,98.9394,19.6699
249,30,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,56.6667,7.57738,2427.56,62.9375,3.21212,0.883883,0.144788,0.0923745,258.091,61.6048
253,40,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,64.9394,9.05172,2444.47,52.494,3.36364,0.866025,0.279333,0.107444,466.788,64.3195
257,50,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,72.5152,7.78268,2446.71,49.7945,3.39394,0.951972,0.714424,0.298458,829.879,107.658
261,60,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,80.2121,9.92395,2460.12,34.2299,3.36364,0.968246,1.73906,0.490592,1297.3,105.368
265,70,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,89.0909,10.8004,2455.98,46.1189,3.30303,0.790569,4.67382,2.22684,1968.24,223.717
269,80,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,93.5758,8.44479,2467.62,19.4345,3.36364,0.866025,8.26836,2.87736,2662.27,259.511
273,90,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,100.667,8.77378,2472.07,24.1641,3.33333,1.04583,15.5478,6.3397,3595.79,272.352
277,100,100,8,10,1,2500,10,0.05,0.5,0,4,33,150,30,0,1,0,0,105.879,10.0398,2472.23,22.1293,3.15152,0.810093,25.5466,6.97027,4667.7,289.38
