seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
481,50,100,2,10,1,2500,5,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,2017.76,11.9752,0.0,0.0,0.0,0.0,0.0,0.0,4.59751,0.115486
497,100,100,2,10,1,2500,5,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,4388.06,15.2439,0.0,0.0,0.0,0.0,0.0,0.0,4.67577,0.0729644
513,150,100,2,10,1,2500,5,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,6754.79,16.4924,0.0,0.0,0.0,0.0,0.0,0.0,4.71671,0.0649231
529,200,100,2,10,1,2500,5,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,9126.97,19.572,0.0,0.0,0.0,0.0,0.0,0.0,4.70654,0.0402683
545,250,100,2,10,1,2500,5,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,11490.6,24.6044,0.0,0.0,0.0,0.0,0.0,0.0,4.74277,0.0463191
561,300,100,2,10,1,2500,5,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,13861.2,24.5681,0.0,0.0,0.0,0.0,0.0,0.0,4.74409,0.0362017
577,350,100,2,10,1,2500,5,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,16224.5,29.5529,0.0,0.0,0.0,0.0,0.0,0.0,4.72881,0.0299347
593,400,100,2,10,1,2500,5,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,18596.0,25.2914,0.0,0.0,0.0,0.0,0.0,0.0,4.7445,0.0318258
609,450,100,2,10,1,2500,5,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,20966.6,27.5845,0.0,0.0,0.0,0.0,0.0,0.0,4.75028,0.0332194
625,500,100,2,10,1,2500,5,0.05,0.5,9,4,33,150,30,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,23319.7,25.3537,0.0,0.0,0.0,0.0,0.0,0.0,4.7462,0.0358527
