seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
490,50,100,4,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,4921.12,15.1987,0.0,0.0,0.0,0.0,0.0,0.0,8.56529,0.869645
506,100,100,4,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,16207.5,64.3637,0.0,0.0,0.0,0.0,0.0,0.0,11.4512,0.674437
522,150,100,4,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,27570.3,81.644,0.0,0.0,0.0,0.0,0.0,0.0,12.2396,0.702339
538,200,100,4,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,38968.3,88.3786,0.0,0.0,0.0,0.0,0.0,0.0,12.615,0.598884
554,250,100,4,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,50360.8,94.6208,0.0,0.0,0.0,0.0,0.0,0.0,12.7025,0.547805
570,300,100,4,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,61686.3,121.03,0.0,0.0,0.0,0.0,0.0,0.0,12.8629,0.393566
586,350,100,4,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,73084.8,101.276,0.0,0.0,0.0,0.0,0.0,0.0,12.8736,0.424765
602,400,100,4,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,84472.2,133.019,0.0,0.0,0.0,0.0,0.0,0.0,12.829,0.351048
618,450,100,4,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,95875.2,125.098,0.0,0.0,0.0,0.0,0.0,0.0,12.9869,0.356461
634,500,100,4,10,1,5000,5,0.05,0.5,9,4,33,150,30,1,0.5,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,107206.0,155.099,0.0,0.0,0.0,0.0,0.0,0.0,12.9885,0.381872
