seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,running_time_avg,running_time_std,all_flights_size_avg,all_flights_size_std
2,10,100,8,10,1,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,49.6364,9.83876,4764.12,173.029,4.66667,1.06066,0.0340303,0.02038,54.5152,14.907
6,20,100,8,10,1,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,74.0909,10.9897,4876.41,111.633,5.09091,1.0155,0.164636,0.069468,270.424,37.1197
10,30,100,8,10,1,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,99.6061,10.207,4934.81,65.9196,5.81818,1.40312,0.798,0.249189,702.606,63.3497
14,40,100,8,10,1,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,117.97,14.273,4929.63,86.1802,5.90909,1.36931,3.14282,1.25707,1307.3,117.814
18,50,100,8,10,1,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,129.273,14.167,4957.15,47.5575,6.27273,1.04583,8.795,2.5733,2149.94,157.331
22,60,100,8,10,1,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,140.818,12.2205,4968.31,32.9227,6.60606,1.25,18.0148,3.82001,3109.09,183.43
26,70,100,8,10,1,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,150.97,14.3123,4964.9,35.8629,6.45455,1.0155,32.4848,6.3388,4234.03,207.748
30,80,100,8,10,1,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,161.97,14.0122,4971.79,25.805,6.72727,1.36931,59.8584,11.7489,5634.73,243.947
34,90,100,8,10,1,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,169.697,12.0143,4973.98,22.4483,7.0,0.829156,103.413,21.9104,7268.42,357.677
38,100,100,8,10,1,5000,5,0.05,0.5,0,4,33,150,30,0,1,0,0,180.061,12.6267,4974.66,18.2087,7.0303,0.918559,195.854,111.56,9128.0,465.734
